timestamp,views,edits
2020021100,710,83.0
2020021200,555,66.0
2020021300,487,77.0
2020021400,1135,41.0
2020021500,1109,82.0
2020021600,921,26.0
2020021700,2016,18.0
2020021800,1937,42.0
2020021900,1479,36.0
2020022000,1515,46.0
2020022100,1377,13.0
2020022200,1376,42.0
2020022300,1986,36.0
2020022400,3261,22.0
2020022500,3273,18.0
2020022600,4281,52.0
2020022700,6455,35.0
2020022800,6045,23.0
2020022900,4348,32.0
2020030100,4343,19.0
2020030200,6402,29.0
2020030300,6030,17.0
2020030400,5893,17.0
2020030500,6154,13.0
2020030600,6089,12.0
2020030700,4998,21.0
2020030800,6068,14.0
2020030900,9748,47.0
2020031000,10148,44.0
2020031100,12312,98.0
2020031200,18707,212.0
2020031300,16834,43.0
2020031400,12581,68.0
2020031500,11187,52.0
2020031600,13549,69.0
2020031700,12321,82.0
2020031800,11814,162.0
2020031900,11171,115.0
2020032000,11354,79.0
2020032100,10344,45.0
2020032200,9687,70.0
2020032300,9540,75.0
2020032400,9026,60.0
2020032500,9133,44.0
2020032600,8784,69.0
2020032700,8477,76.0
2020032800,6266,54.0
2020032900,5170,58.0
2020033000,5784,36.0
2020033100,5741,44.0
2020040100,7674,55.0
2020040200,8637,32.0
2020040300,7673,23.0
2020040400,4743,56.0
2020040500,4270,61.0
2020040600,4452,30.0
2020040700,3852,41.0
2020040800,3655,51.0
2020040900,3527,47.0
2020041000,3246,70.0
2020041100,2757,55.0
2020041200,2632,35.0
2020041300,2939,50.0
2020041400,2939,66.0
2020041500,3099,42.0
2020041600,3024,31.0
2020041700,2814,50.0
2020041800,2268,28.0
2020041900,2219,81.0
2020042000,2506,49.0
2020042100,2281,27.0
2020042200,2422,103.0
2020042300,2368,54.0
2020042400,2341,70.0
2020042500,1729,33.0
2020042600,1894,27.0
2020042700,2510,33.0
2020042800,2091,29.0
2020042900,2049,32.0
2020043000,1919,31.0
2020050100,1646,22.0
2020050200,1421,42.0
2020050300,1475,33.0
2020050400,1734,28.0
2020050500,1683,33.0
2020050600,1600,20.0
2020050700,1460,12.0
2020050800,1435,17.0
2020050900,1201,35.0
2020051000,1297,47.0
2020051100,1752,15.0
2020051200,1528,30.0
2020051300,1441,10.0
2020051400,1429,18.0
2020051500,1259,15.0
2020051600,1110,26.0
2020051700,1163,16.0
2020051800,1281,29.0
2020051900,1270,17.0
2020052000,1299,17.0
2020052100,1193,13.0
2020052200,1145,9.0
2020052300,881,7.0
2020052400,1026,13.0
2020052500,1047,8.0
2020052600,1003,
2020052700,979,7.0
2020052800,962,2.0
2020052900,826,11.0
2020053000,696,4.0
2020053100,695,15.0
2020060100,890,11.0
2020060200,782,25.0
2020060300,629,20.0
2020060400,695,3.0
2020060500,668,9.0
2020060600,537,5.0
2020060700,565,9.0
2020060800,706,6.0
2020060900,694,9.0
2020061000,712,5.0
2020061100,599,4.0
2020061200,501,2.0
2020061300,433,10.0
2020061400,469,4.0
2020061500,559,11.0
2020061600,588,
2020061700,669,11.0
2020061800,548,5.0
2020061900,476,8.0
2020062000,398,11.0
2020062100,403,7.0
2020062200,567,2.0
2020062300,545,6.0
2020062400,598,1.0
2020062500,634,6.0
2020062600,568,2.0
2020062700,480,6.0
2020062800,556,6.0
2020062900,640,8.0
2020063000,624,14.0
2020070100,612,7.0
2020070200,543,5.0
2020070300,566,13.0
2020070400,451,36.0
2020070500,436,6.0
2020070600,620,4.0
2020070700,679,56.0
2020070800,573,3.0
2020070900,641,4.0
2020071000,508,1.0
2020071100,503,9.0
2020071200,482,4.0
2020071300,694,2.0
2020071400,654,10.0
2020071500,673,1.0
2020071600,639,5.0
2020071700,662,2.0
2020071800,568,2.0
2020071900,670,6.0
2020072000,1210,3.0
2020072100,759,2.0
2020072200,625,1.0
2020072300,574,
2020072400,570,2.0
2020072500,466,7.0
2020072600,458,5.0
2020072700,496,5.0
2020072800,518,4.0
2020072900,465,1.0
2020073000,494,2.0
2020073100,416,14.0
2020080100,366,3.0
2020080200,389,3.0
2020080300,531,4.0
2020080400,501,8.0
2020080500,508,2.0
2020080600,419,2.0
2020080700,448,5.0
2020080800,390,
2020080900,357,4.0
2020081000,507,10.0
2020081100,612,17.0
2020081200,518,2.0
2020081300,591,
2020081400,497,6.0
2020081500,443,28.0
2020081600,411,11.0
2020081700,477,3.0
2020081800,459,10.0
2020081900,431,8.0
2020082000,388,1.0
2020082100,299,2.0
2020082200,313,1.0
2020082300,353,1.0
2020082400,446,6.0
2020082500,426,4.0
2020082600,423,2.0
2020082700,394,8.0
2020082800,372,4.0
2020082900,318,1.0
2020083000,364,5.0
2020083100,476,2.0
2020090100,479,1.0
2020090200,533,3.0
2020090300,548,8.0
2020090400,458,1.0
2020090500,418,3.0
2020090600,465,5.0
2020090700,570,11.0
2020090800,649,10.0
2020090900,580,3.0
2020091000,602,2.0
2020091100,515,4.0
2020091200,405,3.0
2020091300,522,7.0
2020091400,540,10.0
2020091500,435,4.0
2020091600,410,3.0
2020091700,470,24.0
2020091800,393,25.0
2020091900,311,2.0
2020092000,354,
2020092100,562,15.0
2020092200,441,13.0
2020092300,460,7.0
2020092400,418,5.0
2020092500,363,7.0
2020092600,341,9.0
