timestamp,views,edits
2021071600,14346,227.0
2021071700,30569,180.0
2021071800,32928,165.0
2021071900,40747,166.0
2021072000,26517,122.0
2021072100,19314,44.0
2021072200,15121,38.0
2021072300,12993,33.0
2021072400,12718,42.0
2021072500,11786,27.0
2021072600,11187,8.0
2021072700,9411,15.0
2021072800,8734,13.0
2021072900,7252,19.0
2021073000,5074,10.0
2021073100,5085,13.0
2021080100,5173,6.0
2021080200,5722,7.0
2021080300,5715,3.0
2021080400,4935,8.0
2021080500,4717,20.0
2021080600,8079,2.0
2021080700,5590,18.0
2021080800,5383,6.0
2021080900,6565,5.0
2021081000,5649,13.0
2021081100,3544,7.0
2021081200,3155,6.0
2021081300,2618,
2021081400,2151,8.0
2021081500,2354,3.0
2021081600,2576,3.0
2021081700,2764,10.0
2021081800,2527,3.0
2021081900,2153,
2021082000,1764,2.0
2021082100,1315,3.0
2021082200,1966,3.0
2021082300,2218,1.0
2021082400,2210,4.0
2021082500,2115,5.0
2021082600,2041,3.0
2021082700,1640,
2021082800,1794,
2021082900,2597,2.0
2021083000,4572,1.0
2021083100,3744,3.0
2021090100,2630,
2021090200,1811,
2021090300,1606,
2021090400,1032,
2021090500,1324,
2021090600,1451,
2021090700,1640,3.0
2021090800,1434,
2021090900,1347,
2021091000,1519,22.0
2021091100,925,4.0
2021091200,1012,1.0
2021091300,1343,
2021091400,1369,1.0
2021091500,1450,
2021091600,1248,1.0
2021091700,1130,4.0
2021091800,759,1.0
2021091900,1087,2.0
2021092000,1210,
2021092100,1146,2.0
2021092200,1024,1.0
2021092300,1043,
2021092400,927,1.0
2021092500,677,
2021092600,948,
2021092700,992,
2021092800,982,
2021092900,987,
2021093000,981,2.0
2021100100,858,1.0
2021100200,676,
2021100300,803,
2021100400,973,2.0
2021100500,1042,2.0
2021100600,966,1.0
2021100700,884,
2021100800,733,
2021100900,639,4.0
2021101000,790,
2021101100,889,
2021101200,937,2.0
2021101300,955,
2021101400,1158,3.0
2021101500,1116,6.0
2021101600,694,
2021101700,856,2.0
2021101800,892,
2021101900,840,1.0
2021102000,868,
2021102100,927,
2021102200,682,
2021102300,579,
2021102400,633,1.0
2021102500,832,1.0
2021102600,911,1.0
2021102700,939,
2021102800,857,
2021102900,686,
2021103000,477,
2021103100,661,
2021110100,900,
2021110200,898,
2021110300,674,
2021110400,683,
2021110500,677,2.0
2021110600,636,1.0
2021110700,840,
2021110800,4194,1.0
2021110900,3137,
2021111000,2558,
2021111100,716,
2021111200,587,
2021111300,530,1.0
2021111400,738,1.0
2021111500,740,
2021111600,667,
2021111700,782,
2021111800,671,
2021111900,576,
2021112000,475,
2021112100,560,
2021112200,773,
2021112300,679,3.0
2021112400,660,
2021112500,621,
2021112600,656,
2021112700,803,1.0
2021112800,749,
2021112900,786,1.0
2021113000,660,
2021120100,689,
2021120200,646,
2021120300,685,
2021120400,530,
2021120500,804,
2021120600,818,
2021120700,814,3.0
2021120800,646,
2021120900,606,
2021121000,640,
2021121100,601,
2021121200,795,1.0
2021121300,1181,1.0
2021121400,1145,1.0
2021121500,994,
2021121600,742,
2021121700,709,
2021121800,560,
2021121900,811,
2021122000,872,
2021122100,725,
2021122200,770,
2021122300,738,
2021122400,532,
2021122500,586,
2021122600,684,1.0
2021122700,907,
2021122800,936,
2021122900,770,
2021123000,975,
2021123100,899,
2022010100,677,1.0
2022010200,798,
2022010300,877,
2022010400,834,
2022010500,865,
2022010600,689,4.0
2022010700,619,1.0
2022010800,593,1.0
2022010900,719,
2022011000,889,
2022011100,1058,2.0
2022011200,878,2.0
2022011300,834,
2022011400,1155,
2022011500,875,
2022011600,709,
2022011700,767,
2022011800,914,
2022011900,736,
2022012000,655,
2022012100,601,1.0
2022012200,480,
2022012300,650,
2022012400,730,
2022012500,612,
2022012600,611,2.0
2022012700,570,
2022012800,519,
2022012900,444,
2022013000,814,2.0
2022013100,809,
2022020100,698,4.0
2022020200,757,
2022020300,669,1.0
2022020400,772,2.0
2022020500,674,1.0
2022020600,866,
2022020700,832,
2022020800,661,
2022020900,688,
2022021000,636,1.0
2022021100,513,
2022021200,457,3.0
2022021300,673,
2022021400,586,2.0
2022021500,657,
2022021600,1063,
2022021700,1045,1.0
2022021800,887,
2022021900,725,
2022022000,758,
2022022100,762,
2022022200,592,
2022022300,487,
2022022400,340,2.0
2022022500,293,
2022022600,278,1.0
2022022700,396,
2022022800,434,
2022030100,385,
2022030200,351,
2022030300,407,
2022030400,345,
2022030500,244,
2022030600,336,
2022030700,378,
2022030800,409,
2022030900,502,
2022031000,440,
2022031100,517,6.0
2022031200,468,1.0
2022031300,482,2.0
2022031400,443,
2022031500,392,
2022031600,366,
2022031700,395,
2022031800,288,
2022031900,312,
2022032000,331,
2022032100,482,
2022032200,402,1.0
2022032300,381,
2022032400,370,
2022032500,327,
2022032600,260,
2022032700,333,
2022032800,422,
2022032900,551,
2022033000,477,2.0
2022033100,435,
2022040100,372,2.0
2022040200,235,
2022040300,301,
2022040400,423,
2022040500,340,
2022040600,356,
2022040700,1803,2.0
2022040800,2672,4.0
2022040900,1465,
2022041000,1226,2.0
2022041100,2746,1.0
2022041200,1409,1.0
2022041300,1061,
2022041400,647,1.0
2022041500,488,1.0
2022041600,392,
2022041700,314,
2022041800,415,
2022041900,443,
2022042000,402,
2022042100,331,3.0
2022042200,494,2.0
2022042300,362,
2022042400,398,2.0
2022042500,463,
2022042600,453,
2022042700,434,
2022042800,366,
2022042900,298,
2022043000,269,
2022050100,420,
2022050200,370,
2022050300,364,
2022050400,376,
2022050500,368,
2022050600,355,1.0
2022050700,309,
2022050800,304,
2022050900,361,
2022051000,408,1.0
2022051100,389,
2022051200,464,
2022051300,356,
2022051400,294,
2022051500,425,
2022051600,676,
2022051700,559,
2022051800,663,3.0
2022051900,888,2.0
2022052000,893,
2022052100,497,1.0
2022052200,434,
2022052300,493,
2022052400,514,
2022052500,313,1.0
2022052600,338,
2022052700,324,
2022052800,266,
2022052900,381,
2022053000,356,
2022053100,369,
2022060100,382,
