timestamp,views,edits
2021071500,529,35.0
2021071600,6116,47.0
2021071700,3455,26.0
2021071800,3178,53.0
2021071900,3418,23.0
2021072000,2352,9.0
2021072100,1404,2.0
2021072200,1167,7.0
2021072300,677,2.0
2021072400,520,3.0
2021072500,565,1.0
2021072600,655,
2021072700,887,2.0
2021072800,832,2.0
2021072900,915,2.0
2021073000,634,
2021073100,570,5.0
2021080100,508,1.0
2021080200,579,
2021080300,533,3.0
2021080400,542,4.0
2021080500,456,
2021080600,424,3.0
2021080700,361,1.0
2021080800,364,1.0
2021080900,252,4.0
2021081000,204,
2021081100,183,
2021081200,177,1.0
2021081300,177,2.0
2021081400,150,2.0
2021081500,160,3.0
2021081600,181,
2021081700,163,
2021081800,121,
2021081900,118,
2021082000,127,
2021082100,93,
2021082200,116,
2021082300,157,
2021082400,161,
2021082500,104,
2021082600,133,
2021082700,106,
2021082800,64,
2021082900,92,
2021083000,147,1.0
2021083100,113,1.0
2021090100,124,
2021090200,158,
2021090300,161,
2021090400,150,
2021090500,162,
2021090600,224,
2021090700,196,
2021090800,251,
2021090900,230,
2021091000,165,
2021091100,106,
2021091200,183,
2021091300,201,
2021091400,210,
2021091500,227,
2021091600,163,
2021091700,105,
2021091800,93,
2021091900,179,
2021092000,162,
2021092100,115,
2021092200,170,
2021092300,142,
2021092400,83,
2021092500,91,
2021092600,112,
2021092700,148,
2021092800,111,
2021092900,109,
2021093000,135,
2021100100,80,
2021100200,93,
2021100300,133,
2021100400,95,
2021100500,119,
2021100600,109,
2021100700,100,
2021100800,98,1.0
2021100900,54,
2021101000,96,
2021101100,111,1.0
2021101200,96,
2021101300,113,
2021101400,100,
2021101500,88,
2021101600,73,
2021101700,83,
2021101800,137,
2021101900,107,
2021102000,94,
2021102100,91,
2021102200,73,
2021102300,41,
2021102400,73,
2021102500,96,
2021102600,87,
2021102700,74,
2021102800,65,
2021102900,43,
2021103000,37,
2021103100,73,
2021110100,102,
2021110200,84,
2021110300,74,
2021110400,58,
2021110500,69,
2021110600,70,
2021110700,75,
2021110800,72,
2021110900,81,
2021111000,72,
2021111100,81,
2021111200,63,
2021111300,53,
2021111400,79,
2021111500,68,
2021111600,87,
2021111700,88,
2021111800,79,
2021111900,63,
2021112000,71,
2021112100,80,
2021112200,83,
2021112300,86,
2021112400,104,
2021112500,58,
2021112600,55,
2021112700,32,
2021112800,59,
2021112900,75,
2021113000,66,
2021120100,87,
2021120200,84,
2021120300,47,
2021120400,35,
2021120500,42,
2021120600,89,
2021120700,71,
2021120800,81,
2021120900,60,
2021121000,54,
2021121100,42,
2021121200,62,
2021121300,67,
2021121400,73,
2021121500,97,
2021121600,56,
2021121700,57,
2021121800,17,
2021121900,53,
2021122000,55,
2021122100,64,
2021122200,33,
2021122300,38,
2021122400,17,
2021122500,25,
2021122600,31,
2021122700,42,
2021122800,55,
2021122900,56,
2021123000,62,1.0
2021123100,43,
2022010100,50,
2022010200,42,
2022010300,109,
2022010400,75,
2022010500,92,
2022010600,63,
2022010700,46,
2022010800,52,
2022010900,98,
2022011000,80,
2022011100,66,
2022011200,101,
2022011300,89,
2022011400,56,
2022011500,39,
2022011600,58,
2022011700,82,
2022011800,50,
2022011900,59,
2022012000,65,
2022012100,37,
2022012200,45,
2022012300,54,
2022012400,55,
2022012500,51,
2022012600,58,
2022012700,47,
2022012800,36,
2022012900,22,
2022013000,59,
2022013100,80,
2022020100,30,
2022020200,56,
2022020300,48,
2022020400,31,
2022020500,20,
2022020600,43,
2022020700,60,
2022020800,45,
2022020900,41,
2022021000,27,
2022021100,22,
2022021200,23,
2022021300,35,
2022021400,25,
2022021500,38,
2022021600,38,
2022021700,43,
2022021800,44,
2022021900,46,
2022022000,30,
2022022100,57,
2022022200,33,
2022022300,32,
2022022400,36,
2022022500,34,
2022022600,25,
2022022700,28,
2022022800,27,
2022030100,32,
2022030200,36,
2022030300,19,
2022030400,21,
2022030500,14,
2022030600,28,
2022030700,45,
2022030800,36,
2022030900,31,
2022031000,20,
2022031100,36,
2022031200,15,
2022031300,42,
2022031400,46,
2022031500,36,
2022031600,34,
2022031700,23,
2022031800,22,
2022031900,12,
2022032000,24,1.0
2022032100,28,
2022032200,28,
2022032300,28,
2022032400,34,
2022032500,21,
2022032600,12,
2022032700,21,
2022032800,17,
2022032900,26,
2022033000,39,
2022033100,53,
2022040100,25,
2022040200,20,
2022040300,27,
2022040400,34,
2022040500,27,
2022040600,24,
2022040700,18,
2022040800,28,
2022040900,13,
2022041000,22,
2022041100,42,
2022041200,42,
2022041300,27,
2022041400,25,
2022041500,15,
2022041600,9,
2022041700,21,
2022041800,26,
2022041900,26,
2022042000,21,
2022042100,20,
2022042200,26,
2022042300,41,
2022042400,32,
2022042500,22,
2022042600,42,
2022042700,18,
2022042800,30,
2022042900,16,
2022043000,21,
2022050100,38,
2022050200,29,
2022050300,17,
2022050400,35,
2022050500,29,
2022050600,11,
2022050700,13,
2022050800,30,
2022050900,29,
2022051000,35,
2022051100,25,
2022051200,34,
2022051300,19,
2022051400,10,
2022051500,23,
2022051600,36,
2022051700,36,
2022051800,53,
2022051900,55,
2022052000,64,
2022052100,41,
2022052200,24,
2022052300,49,
2022052400,35,
2022052500,22,
2022052600,16,
2022052700,14,
2022052800,22,
2022052900,17,
2022053000,35,
2022053100,30,
2022060100,28,
