timestamp,views,edits
2015070100,185,
2015070200,197,
2015070300,178,
2015070400,164,
2015070500,226,
2015070600,184,
2015070700,193,
2015070800,206,
2015070900,192,
2015071000,198,
2015071100,216,1.0
2015071200,197,1.0
2015071300,226,1.0
2015071400,183,
2015071500,183,
2015071600,205,
2015071700,172,
2015071800,195,
2015071900,207,
2015072000,246,
2015072100,187,
2015072200,321,
2015072300,227,
2015072400,214,
2015072500,172,
2015072600,250,
2015072700,339,
2015072800,281,
2015072900,246,
2015073000,246,
2015073100,271,
2015080100,385,
2015080200,448,
2015080300,333,
2015080400,276,
2015080500,265,
2015080600,260,
2015080700,260,
2015080800,251,
2015080900,295,
2015081000,337,
2015081100,273,
2015081200,304,
2015081300,268,
2015081400,316,
2015081500,346,
2015081600,427,
2015081700,369,
2015081800,459,
2015081900,469,
2015082000,419,
2015082100,332,
2015082200,344,
2015082300,339,
2015082400,371,
2015082500,380,
2015082600,348,
2015082700,331,
2015082800,290,
2015082900,296,
2015083000,375,
2015083100,297,
2015090100,260,
2015090200,273,
2015090300,291,
2015090400,280,
2015090500,291,
2015090600,386,
2015090700,282,
2015090800,270,
2015090900,264,2.0
2015091000,299,
2015091100,301,
2015091200,284,1.0
2015091300,929,
2015091400,385,
2015091500,277,
2015091600,289,
2015091700,1958,
2015091800,560,1.0
2015091900,593,
2015092000,396,
2015092100,369,
2015092200,337,
2015092300,296,
2015092400,309,
2015092500,286,
2015092600,285,1.0
2015092700,299,
2015092800,348,
2015092900,286,
2015093000,320,
2015100100,373,
2015100200,313,
2015100300,273,
2015100400,378,
2015100500,306,
2015100600,321,
2015100700,418,1.0
2015100800,367,
2015100900,351,
2015101000,385,
2015101100,385,
2015101200,326,
2015101300,392,
2015101400,366,
2015101500,332,
2015101600,284,1.0
2015101700,260,
2015101800,352,
2015101900,341,
2015102000,407,
2015102100,362,
2015102200,288,
2015102300,350,
2015102400,431,
2015102500,338,
2015102600,528,
2015102700,360,1.0
2015102800,364,
2015102900,387,1.0
2015103000,337,
2015103100,328,
2015110100,369,
2015110200,448,1.0
2015110300,358,
2015110400,424,
2015110500,434,
2015110600,285,1.0
2015110700,285,
2015110800,336,
2015110900,423,
2015111000,404,
2015111100,469,
2015111200,526,
2015111300,367,
2015111400,459,
2015111500,473,
2015111600,721,
2015111700,698,
2015111800,379,
2015111900,424,
2015112000,533,
2015112100,383,
2015112200,424,1.0
2015112300,892,
2015112400,473,
2015112500,447,
2015112600,417,
2015112700,403,
2015112800,502,
2015112900,542,1.0
2015113000,494,
2015120100,411,
2015120200,450,
2015120300,391,
2015120400,418,
2015120500,246,
2015120600,437,
2015120700,386,
2015120800,399,
2015120900,365,
2015121000,260,
2015121100,308,
2015121200,290,
2015121300,281,
2015121400,297,
