timestamp,views,edits
2017052200,143,145.0
2017052300,1053,1388.0
2017052400,13138,487.0
2017052500,387,431.0
2017052600,145,161.0
2017052700,154,144.0
2017052800,110,68.0
2017052900,88,71.0
2017053000,51,107.0
2017053100,49,112.0
2017060100,23,13.0
2017060200,23,10.0
2017060300,69,3.0
2017060400,133,50.0
2017060500,106,38.0
2017060600,63,20.0
2017060700,36,12.0
2017060800,26,4.0
2017060900,20,17.0
2017061000,18,11.0
2017061100,16,4.0
2017061200,17,12.0
2017061300,15,8.0
2017061400,26,15.0
2017061500,13,1.0
2017061600,22,
2017061700,11,6.0
2017061800,9,7.0
2017061900,11,5.0
2017062000,13,
2017062100,11,2.0
2017062200,9,9.0
2017062300,13,1.0
2017062400,6,
2017062500,12,
2017062600,7,14.0
2017062700,3,4.0
2017062800,7,6.0
2017062900,10,
2017063000,2,9.0
2017070100,11,4.0
2017070200,8,3.0
2017070300,6,3.0
2017070400,4,3.0
2017070500,3,
2017070600,6,
2017070700,4,7.0
2017070800,3,
2017070900,3,
2017071000,6,
2017071100,7,6.0
2017071200,3,2.0
2017071300,7,
2017071400,16,4.0
2017071500,8,6.0
2017071600,8,3.0
2017071700,1,
2017071800,5,2.0
2017071900,7,
2017072000,19,
2017072100,16,
2017072200,7,
2017072300,5,3.0
2017072400,5,
2017072500,4,
2017072600,5,2.0
2017072700,3,2.0
2017072800,4,6.0
2017072900,4,
2017073000,3,4.0
2017073100,5,
2017080100,6,2.0
2017080200,8,
2017080300,4,
2017080400,5,
2017080500,2,
2017080600,5,2.0
2017080700,3,
2017080800,4,2.0
2017080900,4,6.0
2017081000,3,1.0
2017081100,5,
2017081200,8,
2017081300,5,1.0
2017081400,3,
2017081500,5,
2017081600,5,3.0
2017081700,4,2.0
2017081800,5,
2017081900,7,2.0
2017082000,4,2.0
2017082100,10,2.0
2017082200,3,2.0
2017082300,5,2.0
2017082400,2,
2017082500,3,
2017082600,2,1.0
2017082700,4,
2017082800,7,
2017082900,3,3.0
2017083000,3,2.0
2017083100,1,
2017090100,7,
2017090200,5,
2017090300,2,
2017090400,4,3.0
2017090500,2,
2017090600,5,
2017090700,6,2.0
2017090800,3,2.0
2017090900,9,5.0
2017091000,7,2.0
2017091100,7,4.0
2017091200,10,1.0
2017091300,8,
2017091400,1,1.0
2017091500,5,4.0
2017091600,4,1.0
2017091700,3,
2017091800,2,
2017091900,6,
2017092000,6,
2017092100,4,2.0
2017092200,6,
2017092300,3,
2017092400,8,
2017092500,3,
2017092600,4,
2017092700,7,
2017092800,1,
2017092900,1,
2017093000,6,
2017100100,3,
2017100200,4,5.0
2017100300,8,3.0
2017100400,14,6.0
2017100500,7,
2017100600,4,2.0
2017100700,3,
2017100800,10,
2017100900,10,2.0
2017101000,394,3.0
2017101100,545,
2017101200,678,2.0
2017101300,574,
2017101400,802,
2017101500,1118,
2017101600,1242,1.0
2017101700,1392,2.0
2017101800,1372,
2017101900,1258,1.0
2017102000,1146,
2017102100,1152,2.0
2017102200,1179,2.0
2017102300,1877,2.0
2017102400,1413,1.0
2017102500,1218,
2017102600,1202,
2017102700,1062,
2017102800,1145,2.0
2017102900,1251,
2017103000,1276,
2017103100,1359,
2017110100,1813,4.0
2017110200,2105,10.0
2017110300,1351,
2017110400,1155,
2017110500,1537,
2017110600,2212,
2017110700,2207,
2017110800,1649,
2017110900,1491,
2017111000,1265,
2017111100,1341,4.0
2017111200,1441,
2017111300,1515,
2017111400,1534,
2017111500,1433,
2017111600,1366,
2017111700,1194,
2017111800,1157,6.0
2017111900,1339,2.0
2017112000,1385,3.0
2017112100,1484,
2017112200,1883,
2017112300,1577,3.0
2017112400,1664,
2017112500,1332,
2017112600,1670,1.0
2017112700,1629,
2017112800,1587,
2017112900,1419,
2017113000,1416,
2017120100,1339,
2017120200,1059,
2017120300,1321,2.0
2017120400,1420,
2017120500,3113,
2017120600,2350,
2017120700,1942,
2017120800,1520,
2017120900,1124,
2017121000,1303,
2017121100,1586,2.0
2017121200,1565,6.0
2017121300,1456,2.0
2017121400,1509,
2017121500,1372,
2017121600,1034,
2017121700,1192,3.0
2017121800,1336,1.0
2017121900,1485,1.0
2017122000,1427,3.0
2017122100,1541,
2017122200,1274,7.0
2017122300,1288,
2017122400,1176,4.0
2017122500,1953,1.0
2017122600,1696,
2017122700,1592,
2017122800,1538,
2017122900,1695,
2017123000,1598,
2017123100,2042,
2018010100,2163,
2018010200,1549,
2018010300,2648,2.0
2018010400,1665,
2018010500,1589,1.0
2018010600,1250,2.0
2018010700,1351,2.0
2018010800,1518,
2018010900,1469,
2018011000,1523,
2018011100,1725,
2018011200,1945,
2018011300,1095,
2018011400,1191,2.0
2018011500,1407,
2018011600,1497,
2018011700,1396,4.0
2018011800,1379,
2018011900,1343,1.0
2018012000,1108,
2018012100,1247,
2018012200,1452,
2018012300,1774,
2018012400,1577,7.0
2018012500,1391,
2018012600,1283,
2018012700,1059,2.0
2018012800,1210,
2018012900,3470,
2018013000,2178,1.0
2018013100,1571,
2018020100,1432,
2018020200,1539,
2018020300,1250,
2018020400,1445,
2018020500,1591,
2018020600,1541,2.0
2018020700,1480,1.0
2018020800,1424,
2018020900,1380,2.0
2018021000,1265,1.0
2018021100,1374,2.0
2018021200,1296,
2018021300,1267,
2018021400,1418,1.0
2018021500,2260,1.0
2018021600,2065,
2018021700,1776,1.0
2018021800,1643,
2018021900,1568,
2018022000,1645,
2018022100,2852,
2018022200,2445,
2018022300,1627,
2018022400,1417,
2018022500,1457,1.0
2018022600,1631,2.0
2018022700,1573,
2018022800,1491,
2018030100,1340,
2018030200,1285,
2018030300,1455,1.0
2018030400,1778,2.0
2018030500,1456,1.0
2018030600,1419,
2018030700,1392,2.0
2018030800,1418,
2018030900,1413,
2018031000,1087,
2018031100,1303,
2018031200,1623,
2018031300,1567,
2018031400,1483,
2018031500,4778,4.0
