timestamp,views,edits
2020050700,182,3.0
2020050800,256,
2020050900,118,
2020051000,80,
2020051100,59,
2020051200,76,
2020051300,45,
2020051400,28,
2020051500,106,26.0
2020051600,65,2.0
2020051700,37,
2020051800,36,
2020051900,26,
2020052000,37,
2020052100,37,
2020052200,42,
2020052300,56,
2020052400,61,1.0
2020052500,91,
2020052600,67,
2020052700,47,
2020052800,42,
2020052900,31,
2020053000,32,
2020053100,34,
2020060100,47,
2020060200,36,
2020060300,26,
2020060400,47,
2020060500,69,
2020060600,66,
2020060700,55,1.0
2020060800,41,
2020060900,49,5.0
2020061000,38,
2020061100,51,
2020061200,52,
2020061300,41,
2020061400,40,
2020061500,32,1.0
2020061600,29,
2020061700,33,
2020061800,39,
2020061900,38,
2020062000,28,
2020062100,35,
2020062200,32,
2020062300,35,
2020062400,35,
2020062500,30,
2020062600,51,
2020062700,44,
2020062800,21,
2020062900,35,
2020063000,42,
2020070100,26,
2020070200,26,
2020070300,35,
2020070400,36,
2020070500,28,
2020070600,43,
2020070700,27,
2020070800,36,
2020070900,17,
2020071000,41,
2020071100,42,
2020071200,34,
2020071300,31,1.0
2020071400,30,1.0
2020071500,36,
2020071600,43,
2020071700,27,
2020071800,33,
2020071900,42,
2020072000,19,
2020072100,23,
2020072200,25,
2020072300,29,
2020072400,25,
2020072500,27,
2020072600,41,
2020072700,23,
2020072800,28,
2020072900,24,
2020073000,27,
2020073100,18,
2020080100,26,1.0
2020080200,15,
2020080300,16,
2020080400,10,
2020080500,37,
2020080600,44,
2020080700,52,
2020080800,46,
2020080900,43,
2020081000,43,
2020081100,52,
2020081200,33,
2020081300,33,
2020081400,38,
2020081500,55,
2020081600,40,
2020081700,37,
2020081800,29,
2020081900,33,
2020082000,31,
2020082100,21,
2020082200,35,
2020082300,28,
2020082400,29,
2020082500,32,
2020082600,32,1.0
2020082700,29,
2020082800,40,
2020082900,22,
2020083000,22,
2020083100,32,
2020090100,24,
2020090200,15,
2020090300,17,
2020090400,13,
2020090500,29,
2020090600,31,
2020090700,26,
2020090800,24,
2020090900,36,
2020091000,36,
2020091100,17,
2020091200,21,
2020091300,16,
2020091400,33,
2020091500,16,
2020091600,22,
2020091700,43,
2020091800,25,
2020091900,39,
2020092000,22,
2020092100,15,
2020092200,20,
2020092300,40,1.0
2020092400,35,
2020092500,40,1.0
2020092600,43,
2020092700,30,
2020092800,25,
2020092900,21,
2020093000,23,
2020100100,25,
2020100200,31,
2020100300,29,
2020100400,35,
2020100500,30,
2020100600,21,
2020100700,36,
2020100800,19,
2020100900,20,
2020101000,28,
2020101100,35,
2020101200,22,
2020101300,12,
2020101400,21,
2020101500,17,
2020101600,12,
2020101700,19,
2020101800,17,
2020101900,26,
2020102000,22,
2020102100,38,
2020102200,28,
2020102300,20,
2020102400,29,
2020102500,25,
2020102600,24,
2020102700,32,
2020102800,39,
2020102900,25,
2020103000,27,
2020103100,22,
2020110100,15,
2020110200,19,
2020110300,19,
2020110400,20,
2020110500,21,
2020110600,23,
2020110700,17,
2020110800,15,
2020110900,25,
2020111000,19,
2020111100,21,
2020111200,16,
2020111300,5,
2020111400,11,
2020111500,12,
2020111600,6,
2020111700,24,
2020111800,22,
2020111900,19,
2020112000,19,
2020112100,18,
2020112200,18,
2020112300,23,
2020112400,30,
2020112500,10,
2020112600,21,
2020112700,14,
2020112800,20,
2020112900,13,
2020113000,14,
2020120100,14,
2020120200,29,
2020120300,60,
2020120400,43,
2020120500,58,
2020120600,26,
2020120700,24,
2020120800,20,
2020120900,27,
2020121000,21,
2020121100,35,
2020121200,30,
2020121300,21,
2020121400,18,
2020121500,36,
2020121600,31,
2020121700,32,
2020121800,33,
2020121900,16,
2020122000,178,
2020122100,80,
2020122200,50,
2020122300,2212,
2020122400,117,
2020122500,61,
2020122600,57,
2020122700,36,
2020122800,51,
2020122900,45,
2020123000,51,
2020123100,40,
2021010100,18,
2021010200,26,
2021010300,29,
2021010400,36,
2021010500,38,
2021010600,38,
2021010700,49,
2021010800,41,
2021010900,52,
2021011000,52,
2021011100,50,
2021011200,39,
2021011300,36,
2021011400,25,
2021011500,60,
2021011600,45,
2021011700,60,
2021011800,59,
2021011900,29,
2021012000,37,
2021012100,32,
2021012200,35,
2021012300,33,
2021012400,27,
2021012500,27,
2021012600,22,
2021012700,19,
2021012800,39,
2021012900,31,
2021013000,28,
2021013100,14,
2021020100,31,
2021020200,23,
2021020300,30,
2021020400,21,
2021020500,22,
2021020600,33,
2021020700,15,
2021020800,33,
2021020900,23,
2021021000,24,
2021021100,30,
2021021200,35,
2021021300,34,
2021021400,17,
2021021500,35,
2021021600,42,
2021021700,26,
2021021800,24,
2021021900,45,
2021022000,21,
2021022100,24,
2021022200,32,
2021022300,21,
2021022400,18,
2021022500,41,
2021022600,13,
2021022700,30,
2021022800,27,
2021030100,39,
2021030200,24,
2021030300,34,
2021030400,33,
2021030500,43,
2021030600,58,
2021030700,36,
2021030800,28,
2021030900,35,
2021031000,16,
2021031100,25,
2021031200,28,
2021031300,31,
2021031400,22,
2021031500,26,
2021031600,33,
2021031700,28,
2021031800,27,
2021031900,25,
2021032000,40,
2021032100,25,
2021032200,17,
2021032300,24,
2021032400,14,
2021032500,15,
2021032600,12,
2021032700,14,
2021032800,9,
2021032900,11,
2021033000,13,
2021033100,8,
2021040100,9,
2021040200,20,
2021040300,14,
2021040400,7,
2021040500,18,
2021040600,19,
2021040700,13,
2021040800,10,
2021040900,18,
2021041000,15,
2021041100,15,
2021041200,12,
2021041300,8,
2021041400,8,
2021041500,8,
2021041600,10,
2021041700,4,
2021041800,19,
2021041900,10,
2021042000,20,
2021042100,8,
2021042200,8,
2021042300,11,
2021042400,10,
2021042500,12,
2021042600,11,
2021042700,13,
2021042800,10,
2021042900,10,
2021043000,10,
2021050100,9,
2021050200,6,
2021050300,25,
2021050400,12,
2021050500,5,
2021050600,10,
2021050700,9,
2021050800,7,
2021050900,9,
2021051000,11,
2021051100,7,
2021051200,8,
2021051300,6,
2021051400,9,
2021051500,10,
2021051600,17,
2021051700,11,
2021051800,12,
2021051900,3,
2021052000,4,
2021052100,3,
2021052200,10,
2021052300,17,
2021052400,7,
2021052500,13,
2021052600,9,
2021052700,8,
2021052800,4,
2021052900,16,
2021053000,8,
2021053100,5,
2021060100,5,
2021060200,4,
2021060300,5,
2021060400,12,
2021060500,10,
2021060600,7,
2021060700,5,
2021060800,3,
2021060900,7,
2021061000,12,
2021061100,27,
2021061200,13,
2021061300,10,
2021061400,11,
2021061500,10,
2021061600,17,
2021061700,9,
2021061800,3,
2021061900,26,
2021062000,12,
2021062100,19,
2021062200,13,
2021062300,3,
2021062400,12,
2021062500,11,
2021062600,18,
2021062700,3,
2021062800,11,
2021062900,11,
2021063000,6,
2021070100,10,
2021070200,16,
2021070300,8,
2021070400,4,
2021070500,5,
2021070600,9,
2021070700,14,
2021070800,11,
2021070900,10,
2021071000,14,
2021071100,10,
2021071200,17,
2021071300,50,
2021071400,10,
2021071500,48,
2021071600,42,
2021071700,30,
2021071800,13,
2021071900,14,
2021072000,20,
2021072100,21,
2021072200,25,
2021072300,22,
2021072400,32,
2021072500,15,
2021072600,10,
2021072700,17,
2021072800,10,
2021072900,7,
2021073000,10,
2021073100,18,
2021080100,10,
2021080200,7,
2021080300,12,
2021080400,21,
2021080500,14,
2021080600,11,
2021080700,12,
2021080800,16,
2021080900,14,
2021081000,13,
2021081100,12,
2021081200,8,
2021081300,17,
2021081400,19,
2021081500,18,
2021081600,8,
2021081700,17,
2021081800,14,
2021081900,13,
2021082000,12,
2021082100,12,
2021082200,7,
2021082300,18,
2021082400,15,
2021082500,13,
2021082600,3,
2021082700,10,
2021082800,8,
2021082900,10,
2021083000,9,
2021083100,13,
2021090100,14,
2021090200,6,
2021090300,9,
2021090400,19,
2021090500,14,
2021090600,14,
2021090700,11,
2021090800,9,
2021090900,9,
2021091000,10,
2021091100,15,
2021091200,12,
2021091300,16,
2021091400,6,
2021091500,8,
2021091600,16,
2021091700,13,
2021091800,21,
2021091900,7,
2021092000,9,
2021092100,13,
2021092200,10,
2021092300,4,
2021092400,15,
2021092500,11,
2021092600,17,
2021092700,7,
2021092800,9,
2021092900,51,
2021093000,9,
2021100100,17,
2021100200,15,
2021100300,12,
2021100400,10,
2021100500,20,
2021100600,7,
2021100700,9,
2021100800,12,
2021100900,17,
2021101000,10,
2021101100,23,
2021101200,12,
2021101300,8,
2021101400,21,
2021101500,2,
2021101600,11,
2021101700,12,
2021101800,11,
2021101900,18,
2021102000,10,
2021102100,16,
