timestamp,views,edits
2020031700,2,81.0
2020031800,1,54.0
2020031900,4,47.0
2020032000,9,56.0
2020032100,8,49.0
2020032200,12,61.0
2020032300,3,67.0
2020032400,6,77.0
2020032500,4,60.0
2020032600,8,78.0
2020032700,2,67.0
2020032800,2,55.0
2020032900,8,39.0
2020033000,3,44.0
2020033100,2,54.0
2020040100,2,71.0
2020040200,1,44.0
2020040300,3,30.0
2020040400,2,35.0
2020040600,5,22.0
2020040700,6,44.0
2020040800,6,30.0
2020040900,10,43.0
2020041000,5,38.0
2020041100,1,27.0
2020041200,2,26.0
2020041300,5,25.0
2020041400,2,29.0
2020041500,4,21.0
2020041600,4,27.0
2020041700,2,34.0
2020041800,12,31.0
2020041900,22,20.0
2020042000,12,35.0
2020042100,1,20.0
2020042200,4,15.0
2020042300,3,25.0
2020042400,4,19.0
2020042500,1,20.0
2020042600,0,22.0
2020042700,0,28.0
2020042800,0,29.0
2020042900,1,7.0
2020043000,1,22.0
2020050100,1,24.0
2020050200,1,23.0
2020050300,0,15.0
2020050400,3776,30.0
2020050500,6371,21.0
2020050600,6130,14.0
2020050700,5899,12.0
2020050800,5341,6.0
2020050900,5587,19.0
2020051000,6372,19.0
2020051100,6004,9.0
2020051200,6165,15.0
2020051300,5812,20.0
2020051400,5552,18.0
2020051500,5735,9.0
2020051600,5436,13.0
2020051700,5511,6.0
2020051800,5377,7.0
2020051900,5540,12.0
2020052000,5155,11.0
2020052100,4794,12.0
2020052200,4442,14.0
2020052300,4173,6.0
2020052400,4451,12.0
2020052500,4958,10.0
2020052600,4439,12.0
2020052700,4442,12.0
2020052800,4188,13.0
2020052900,3885,21.0
2020053000,3330,17.0
2020053100,3758,9.0
2020060100,3948,17.0
2020060200,3640,7.0
2020060300,3485,9.0
2020060400,3554,9.0
2020060500,3370,8.0
2020060600,2974,22.0
2020060700,3221,5.0
2020060800,3465,11.0
2020060900,3315,12.0
2020061000,3058,3.0
2020061100,3073,3.0
2020061200,2936,3.0
2020061300,2627,9.0
2020061400,2770,3.0
2020061500,2997,4.0
2020061600,2931,9.0
2020061700,3049,11.0
2020061800,2828,4.0
2020061900,2684,7.0
2020062000,2553,11.0
2020062100,2695,9.0
2020062200,3184,5.0
2020062300,2980,5.0
2020062400,3105,5.0
2020062500,3473,9.0
2020062600,3071,10.0
2020062700,2813,7.0
2020062800,2868,7.0
2020062900,3035,5.0
2020063000,2942,6.0
2020070100,2686,5.0
2020070200,2706,3.0
2020070300,2872,4.0
2020070400,2445,3.0
2020070500,2447,12.0
2020070600,2684,2.0
2020070700,2665,6.0
2020070800,2867,3.0
2020070900,2700,8.0
2020071000,2613,9.0
2020071100,2077,3.0
2020071200,2410,3.0
2020071300,2754,2.0
2020071400,2568,3.0
2020071500,2589,3.0
2020071600,2418,7.0
2020071700,2429,4.0
2020071800,2032,7.0
2020071900,2268,5.0
2020072000,2468,3.0
2020072100,2448,7.0
2020072200,2524,5.0
2020072300,2584,5.0
2020072400,2525,7.0
2020072500,2252,5.0
2020072600,2526,5.0
2020072700,3067,8.0
2020072800,3015,27.0
2020072900,2896,23.0
2020073000,2740,7.0
2020073100,2560,10.0
2020080100,2305,5.0
2020080200,2353,5.0
2020080300,2596,5.0
2020080400,2474,4.0
2020080500,2424,10.0
2020080600,2570,3.0
2020080700,2489,5.0
2020080800,2158,5.0
2020080900,2466,7.0
2020081000,2781,9.0
2020081100,2435,10.0
2020081200,2390,4.0
2020081300,2399,8.0
2020081400,2273,9.0
2020081500,2084,5.0
2020081600,2168,3.0
2020081700,2429,5.0
2020081800,2322,5.0
2020081900,2306,1.0
2020082000,2363,1.0
2020082100,2123,1.0
2020082200,1956,1.0
2020082300,2173,1.0
2020082400,2378,3.0
2020082500,2109,2.0
2020082600,1941,1.0
2020082700,1999,1.0
2020082800,2026,2.0
2020082900,1751,2.0
2020083000,1726,1.0
2020083100,1905,1.0
2020090100,1757,1.0
2020090200,1801,2.0
2020090300,1737,1.0
2020090400,1646,2.0
2020090500,1523,1.0
2020090600,1642,2.0
2020090700,1985,4.0
2020090800,1871,1.0
2020090900,1881,2.0
2020091000,1973,1.0
2020091100,1906,3.0
2020091200,1669,2.0
2020091300,1782,1.0
2020091400,1934,1.0
2020091500,1794,1.0
2020091600,1930,1.0
2020091700,2209,1.0
2020091800,2224,1.0
2020091900,1659,1.0
2020092000,1865,1.0
2020092100,2241,1.0
2020092200,2256,1.0
2020092300,2120,2.0
2020092400,1995,1.0
2020092500,2039,1.0
2020092600,1597,1.0
2020092700,1615,1.0
2020092800,1801,1.0
2020092900,1759,4.0
2020093000,1749,1.0
2020100100,1743,6.0
2020100200,1621,1.0
2020100300,1458,4.0
2020100400,1659,4.0
2020100500,1998,1.0
2020100600,1862,1.0
2020100700,2058,1.0
2020100800,2647,2.0
2020100900,2277,1.0
2020101000,2088,3.0
2020101100,1998,2.0
2020101200,2197,3.0
2020101300,2172,1.0
2020101400,2659,1.0
2020101500,2901,3.0
2020101600,2596,2.0
2020101700,2251,1.0
2020101800,2260,3.0
2020101900,2644,2.0
2020102000,2513,2.0
2020102100,2774,4.0
2020102200,2965,5.0
2020102300,2770,1.0
