timestamp,views,edits
2020040100,1217,40.0
2020040200,4677,23.0
2020040300,2418,7.0
2020040400,2110,17.0
2020040500,2178,76.0
2020040600,2335,10.0
2020040700,2386,8.0
2020040800,1923,18.0
2020040900,1985,5.0
2020041000,1901,11.0
2020041100,2202,8.0
2020041200,2374,5.0
2020041300,2579,6.0
2020041400,2372,14.0
2020041500,2140,20.0
2020041600,2091,10.0
2020041700,1857,20.0
2020041800,2043,19.0
2020041900,1937,3.0
2020042000,1887,8.0
2020042100,1756,1.0
2020042200,1681,3.0
2020042300,1603,3.0
2020042400,1639,5.0
2020042500,1700,6.0
2020042600,1736,5.0
2020042700,1828,1.0
2020042800,1928,18.0
2020042900,1994,5.0
2020043000,1992,11.0
2020050100,1847,10.0
2020050200,1866,16.0
2020050300,1955,4.0
2020050400,1699,11.0
2020050500,1979,11.0
2020050600,1758,10.0
2020050700,1462,3.0
2020050800,1625,26.0
2020050900,1636,7.0
2020051000,1633,18.0
2020051100,1343,2.0
2020051200,1244,10.0
2020051300,1304,9.0
2020051400,1233,8.0
2020051500,1099,4.0
2020051600,1132,12.0
2020051700,1235,17.0
2020051800,1131,5.0
2020051900,935,4.0
2020052000,910,5.0
2020052100,849,7.0
2020052200,917,7.0
2020052300,848,1.0
2020052400,892,
2020052500,979,2.0
2020052600,915,2.0
2020052700,884,5.0
2020052800,1546,2.0
2020052900,1066,4.0
2020053000,788,2.0
2020053100,819,2.0
2020060100,864,20.0
2020060200,630,3.0
2020060300,777,4.0
2020060400,779,15.0
2020060500,814,32.0
2020060600,665,11.0
2020060700,686,15.0
2020060800,759,1.0
2020060900,666,6.0
2020061000,733,8.0
2020061100,672,4.0
2020061200,639,2.0
2020061300,490,
2020061400,587,23.0
2020061500,546,11.0
2020061600,534,3.0
2020061700,499,19.0
2020061800,556,8.0
2020061900,529,4.0
2020062000,503,1.0
2020062100,487,2.0
2020062200,515,1.0
2020062300,428,
2020062400,503,1.0
2020062500,588,3.0
2020062600,550,10.0
2020062700,514,1.0
2020062800,521,3.0
2020062900,448,5.0
2020063000,489,1.0
2020070100,588,12.0
2020070200,482,8.0
2020070300,456,1.0
2020070400,464,4.0
2020070500,517,
2020070600,395,
2020070700,460,
2020070800,519,7.0
2020070900,480,2.0
2020071000,431,3.0
2020071100,413,1.0
2020071200,448,
2020071300,502,4.0
2020071400,491,3.0
2020071500,424,
2020071600,482,5.0
2020071700,495,4.0
2020071800,430,2.0
2020071900,439,1.0
2020072000,530,4.0
2020072100,430,
2020072200,458,
2020072300,441,7.0
2020072400,534,6.0
2020072500,422,
2020072600,435,
2020072700,415,
2020072800,422,2.0
2020072900,543,2.0
2020073000,486,
2020073100,331,
2020080100,351,
2020080200,423,5.0
2020080300,440,
2020080400,396,4.0
2020080500,329,1.0
2020080600,349,2.0
2020080700,378,
2020080800,268,
2020080900,341,
2020081000,386,3.0
2020081100,432,6.0
2020081200,387,1.0
2020081300,332,1.0
2020081400,447,1.0
2020081500,335,1.0
2020081600,390,4.0
2020081700,403,5.0
2020081800,385,7.0
2020081900,340,5.0
2020082000,367,11.0
2020082100,390,4.0
2020082200,335,1.0
2020082300,362,5.0
2020082400,404,6.0
2020082500,329,2.0
2020082600,292,
2020082700,305,1.0
2020082800,393,2.0
2020082900,308,1.0
2020083000,306,
2020083100,282,
2020090100,252,
2020090200,254,
2020090300,314,4.0
2020090400,324,18.0
2020090500,349,18.0
2020090600,347,11.0
2020090700,307,1.0
2020090800,325,3.0
2020090900,404,
2020091000,394,
2020091100,343,
2020091200,308,2.0
2020091300,394,13.0
2020091400,399,6.0
2020091500,314,3.0
2020091600,292,
2020091700,397,3.0
2020091800,373,
2020091900,291,
2020092000,349,
2020092100,396,8.0
2020092200,399,4.0
2020092300,480,
2020092400,446,
2020092500,360,
2020092600,335,
2020092700,361,
2020092800,375,
2020092900,329,2.0
2020093000,341,4.0
2020100100,364,15.0
2020100200,267,
2020100300,255,1.0
2020100400,311,
2020100500,295,
2020100600,314,3.0
2020100700,268,
2020100800,299,3.0
2020100900,301,
2020101000,353,
2020101100,429,
2020101200,477,15.0
2020101300,634,16.0
2020101400,778,5.0
2020101500,626,2.0
2020101600,461,1.0
2020101700,364,2.0
2020101800,376,1.0
2020101900,529,8.0
2020102000,439,1.0
2020102100,480,1.0
2020102200,601,
2020102300,680,5.0
2020102400,660,3.0
2020102500,762,5.0
2020102600,697,
2020102700,765,
2020102800,1261,16.0
2020102900,777,1.0
2020103000,692,1.0
2020103100,688,2.0
2020110100,713,4.0
2020110200,555,18.0
2020110300,582,10.0
2020110400,493,
2020110500,523,11.0
2020110600,497,1.0
2020110700,532,2.0
2020110800,568,1.0
2020110900,495,3.0
2020111000,392,8.0
2020111100,458,7.0
2020111200,445,6.0
2020111300,317,
2020111400,466,
2020111500,470,2.0
2020111600,391,5.0
2020111700,370,2.0
2020111800,307,3.0
2020111900,440,2.0
2020112000,356,6.0
2020112100,264,2.0
2020112200,336,3.0
2020112300,392,12.0
2020112400,334,2.0
2020112500,342,
2020112600,318,7.0
2020112700,304,
2020112800,304,
2020112900,253,
2020113000,252,2.0
2020120100,305,13.0
2020120200,269,1.0
2020120300,267,5.0
2020120400,340,1.0
2020120500,294,
2020120600,262,
2020120700,427,
2020120800,309,5.0
2020120900,283,1.0
2020121000,394,
2020121100,313,5.0
2020121200,289,
2020121300,455,
2020121400,419,3.0
2020121500,341,2.0
2020121600,327,
2020121700,353,
2020121800,279,1.0
2020121900,352,
2020122000,351,
2020122100,295,
2020122200,225,
2020122300,227,3.0
2020122400,259,6.0
2020122500,199,
2020122600,231,
2020122700,229,
2020122800,276,
2020122900,254,1.0
2020123000,267,1.0
2020123100,305,1.0
2021010100,235,
2021010200,221,
2021010300,346,3.0
2021010400,358,4.0
2021010500,444,24.0
2021010600,288,
2021010700,321,
2021010800,303,2.0
2021010900,295,
2021011000,350,8.0
2021011100,280,
2021011200,299,
2021011300,334,
2021011400,403,
2021011500,326,
2021011600,358,
2021011700,396,
2021011800,233,1.0
2021011900,356,
2021012000,628,3.0
2021012100,472,3.0
2021012200,473,13.0
2021012300,381,
2021012400,472,6.0
2021012500,382,
2021012600,433,1.0
2021012700,340,
2021012800,272,
2021012900,289,4.0
2021013000,265,
2021013100,248,
2021020100,319,14.0
2021020200,226,2.0
2021020300,225,5.0
2021020400,245,
2021020500,244,13.0
2021020600,204,
2021020700,219,
2021020800,190,
2021020900,195,
2021021000,223,
2021021100,164,
2021021200,152,1.0
2021021300,141,
2021021400,210,7.0
2021021500,203,
2021021600,251,27.0
2021021700,197,12.0
2021021800,168,5.0
2021021900,143,2.0
2021022000,188,14.0
2021022100,227,
2021022200,365,
2021022300,571,3.0
2021022400,365,5.0
2021022500,238,
2021022600,224,
2021022700,216,
2021022800,273,
2021030100,238,
2021030200,240,14.0
2021030300,193,2.0
2021030400,213,
2021030500,179,3.0
2021030600,197,13.0
2021030700,171,
2021030800,206,
2021030900,231,
2021031000,171,
2021031100,179,
2021031200,202,
2021031300,274,15.0
2021031400,246,
2021031500,285,8.0
2021031600,272,
2021031700,257,
2021031800,361,6.0
2021031900,221,
2021032000,158,
2021032100,255,5.0
2021032200,218,
2021032300,244,2.0
2021032400,211,
2021032500,253,
2021032600,247,4.0
2021032700,202,6.0
2021032800,206,
2021032900,188,
2021033000,221,
2021033100,250,1.0
2021040100,275,19.0
2021040200,195,
2021040300,193,
2021040400,180,
2021040500,197,
2021040600,179,
2021040700,154,
2021040800,162,
2021040900,152,
2021041000,163,8.0
2021041100,211,
2021041200,264,
2021041300,259,1.0
2021041400,220,1.0
2021041500,341,7.0
2021041600,170,
2021041700,156,1.0
2021041800,167,5.0
2021041900,184,8.0
2021042000,113,
2021042100,142,
2021042200,151,
2021042300,113,
2021042400,136,4.0
2021042500,103,
2021042600,168,
2021042700,204,14.0
2021042800,225,4.0
2021042900,205,8.0
2021043000,165,2.0
2021050100,173,11.0
2021050200,134,2.0
2021050300,148,
2021050400,163,7.0
2021050500,146,
2021050600,116,
2021050700,141,12.0
2021050800,103,
2021050900,112,
2021051000,103,
2021051100,137,
2021051200,100,
2021051300,118,
2021051400,127,2.0
2021051500,148,12.0
2021051600,121,
2021051700,118,
2021051800,113,
2021051900,98,
2021052000,128,
2021052100,156,11.0
2021052200,107,
2021052300,110,
2021052400,111,
2021052500,111,
2021052600,101,
2021052700,109,
2021052800,152,12.0
2021052900,118,2.0
2021053000,94,
2021053100,149,6.0
2021060100,133,6.0
2021060200,106,
2021060300,112,9.0
2021060400,77,
2021060500,77,
2021060600,86,
2021060700,95,
2021060800,103,
2021060900,93,1.0
2021061000,118,12.0
2021061100,100,
2021061200,51,
2021061300,112,
2021061400,70,
2021061500,74,
2021061600,88,
2021061700,101,9.0
2021061800,90,
2021061900,101,
2021062000,80,
2021062100,92,
2021062200,74,
2021062300,86,
2021062400,111,2.0
2021062500,86,4.0
2021062600,69,
2021062700,377,5.0
2021062800,69,
2021062900,92,
2021063000,70,
2021070100,124,18.0
2021070200,118,8.0
2021070300,85,
2021070400,84,
2021070500,122,
2021070600,105,1.0
2021070700,85,1.0
2021070800,82,
2021070900,141,9.0
2021071000,100,
2021071100,124,
2021071200,118,
2021071300,161,
2021071400,147,
2021071500,175,6.0
2021071600,137,1.0
2021071700,101,4.0
2021071800,130,3.0
2021071900,132,8.0
2021072000,121,1.0
2021072100,101,
2021072200,161,7.0
2021072300,273,7.0
2021072400,176,
2021072500,182,1.0
2021072600,197,
2021072700,140,
2021072800,167,
2021072900,147,
2021073000,149,15.0
2021073100,100,
2021080100,149,16.0
2021080200,132,
2021080300,99,
2021080400,103,2.0
2021080500,119,
2021080600,133,11.0
2021080700,109,2.0
2021080800,97,
2021080900,81,
2021081000,89,
2021081100,102,
2021081200,109,8.0
2021081300,117,3.0
2021081400,66,
2021081500,72,
2021081600,87,1.0
2021081700,68,
2021081800,80,
2021081900,74,11.0
2021082000,77,5.0
2021082100,54,
2021082200,73,
2021082300,82,
2021082400,79,
2021082500,94,
2021082600,102,7.0
2021082700,76,2.0
2021082800,68,
2021082900,76,
2021083000,161,
2021083100,133,1.0
2021090100,123,11.0
2021090200,96,9.0
2021090300,67,
2021090400,78,3.0
2021090500,141,20.0
2021090600,86,1.0
2021090700,70,
2021090800,60,
2021090900,99,7.0
2021091000,116,
2021091100,76,
2021091200,150,32.0
2021091300,78,
2021091400,65,
2021091500,95,
2021091600,79,
2021091700,84,7.0
2021091800,50,
2021091900,62,1.0
2021092000,67,
2021092100,75,
2021092200,48,
2021092300,55,
2021092400,52,
