timestamp,views,edits
2020021100,854,41.0
2020021200,1032,36.0
2020021300,1660,12.0
2020021400,287,5.0
2020021500,119,18.0
2020021600,56,6.0
2020021700,130,4.0
2020021800,92,14.0
2020021900,64,6.0
2020022000,61,1.0
2020022100,40,5.0
2020022200,66,4.0
2020022300,201,9.0
2020022400,283,30.0
2020022500,316,19.0
2020022600,547,20.0
2020022700,757,19.0
2020022800,789,20.0
2020022900,495,24.0
2020030100,530,29.0
2020030200,799,14.0
2020030300,752,5.0
2020030400,571,7.0
2020030500,618,14.0
2020030600,595,1.0
2020030700,391,2.0
2020030800,535,
2020030900,931,
2020031000,1107,
2020031100,1639,2.0
2020031200,1794,27.0
2020031300,1663,56.0
2020031400,1235,41.0
2020031500,1054,27.0
2020031600,2274,6.0
2020031700,2096,18.0
2020031800,2079,17.0
2020031900,2099,43.0
2020032000,2059,33.0
2020032100,1845,41.0
2020032200,1878,37.0
2020032300,1937,24.0
2020032400,1870,19.0
2020032500,1707,66.0
2020032600,1575,20.0
2020032700,1580,28.0
2020032800,1461,18.0
2020032900,3247,29.0
2020033000,2062,31.0
2020033100,4032,16.0
2020040100,4771,10.0
2020040200,4358,22.0
2020040300,3940,15.0
2020040400,1168,20.0
2020040500,865,19.0
2020040600,1111,14.0
2020040700,877,22.0
2020040800,861,22.0
2020040900,747,40.0
2020041000,653,24.0
2020041100,575,4.0
2020041200,620,30.0
2020041300,713,22.0
2020041400,693,8.0
2020041500,614,24.0
2020041600,709,9.0
2020041700,648,21.0
2020041800,484,25.0
2020041900,524,12.0
2020042000,671,10.0
2020042100,715,9.0
2020042200,669,8.0
2020042300,623,15.0
2020042400,563,9.0
2020042500,405,10.0
2020042600,432,4.0
2020042700,611,19.0
2020042800,584,15.0
2020042900,599,17.0
2020043000,530,20.0
2020050100,531,20.0
2020050200,530,11.0
2020050300,559,7.0
2020050400,559,3.0
2020050500,561,9.0
2020050600,483,7.0
2020050700,470,7.0
2020050800,448,4.0
2020050900,398,3.0
2020051000,463,2.0
2020051100,722,6.0
2020051200,572,6.0
2020051300,1051,4.0
2020051400,631,12.0
2020051500,476,9.0
2020051600,550,3.0
2020051700,563,3.0
2020051800,662,1.0
2020051900,537,1.0
2020052000,511,2.0
2020052100,397,2.0
2020052200,412,3.0
2020052300,423,1.0
2020052400,477,16.0
2020052500,481,11.0
2020052600,582,9.0
2020052700,438,16.0
2020052800,403,5.0
2020052900,340,6.0
2020053000,277,1.0
2020053100,285,6.0
2020060100,405,1.0
2020060200,432,4.0
2020060300,422,4.0
2020060400,419,3.0
2020060500,396,4.0
2020060600,298,5.0
2020060700,359,5.0
2020060800,437,8.0
2020060900,386,5.0
2020061000,343,11.0
2020061100,324,9.0
2020061200,344,16.0
2020061300,184,9.0
2020061400,239,7.0
2020061500,305,1.0
2020061600,351,5.0
