timestamp,views,edits
2020031300,28,3.0
2020031400,29,39.0
2020031500,47,39.0
2020031600,63,11.0
2020031700,70,34.0
2020031800,33,12.0
2020031900,49,11.0
2020032000,41,23.0
2020032100,41,31.0
2020032200,49,15.0
2020032300,50,29.0
2020032400,44,15.0
2020032500,96,7.0
2020032600,49,28.0
2020032700,41,16.0
2020032800,22,8.0
2020032900,35,13.0
2020033000,39,7.0
2020033100,37,10.0
2020040100,27,16.0
2020040200,35,4.0
2020040300,30,7.0
2020040400,45,1.0
2020040500,62,2.0
2020040600,45,6.0
2020040700,75,1.0
2020040800,43,2.0
2020040900,45,
2020041000,26,
2020041100,21,3.0
2020041200,17,5.0
2020041300,18,5.0
2020041400,32,7.0
2020041500,91,12.0
2020041600,294,68.0
2020041700,56,23.0
2020041800,46,9.0
2020041900,46,7.0
2020042000,18,5.0
2020042100,21,3.0
2020042200,30,
2020042300,17,6.0
2020042400,17,2.0
2020042500,26,1.0
2020042600,15,4.0
2020042700,16,1.0
2020042800,30,3.0
2020042900,18,2.0
2020043000,20,
2020050100,35,9.0
2020050200,32,
2020050300,21,1.0
2020050400,24,2.0
2020050500,25,
2020050600,19,1.0
2020050700,15,
2020050800,26,1.0
2020050900,11,2.0
2020051000,16,3.0
2020051100,41,8.0
2020051200,15,2.0
2020051300,12,6.0
2020051400,30,4.0
2020051500,21,9.0
2020051600,18,1.0
2020051700,19,9.0
2020051800,20,1.0
2020051900,14,3.0
2020052000,24,8.0
2020052100,13,7.0
2020052200,16,
2020052300,20,4.0
2020052400,14,2.0
2020052500,13,7.0
2020052600,17,4.0
2020052700,19,7.0
2020052800,22,1.0
2020052900,15,2.0
2020053000,9,7.0
2020053100,8,2.0
2020060100,12,4.0
2020060200,18,
2020060300,12,5.0
2020060400,11,1.0
2020060500,12,8.0
2020060600,10,
2020060700,22,
2020060800,24,
2020060900,19,9.0
2020061000,10,3.0
2020061100,12,1.0
2020061200,15,
2020061300,9,3.0
2020061400,10,1.0
2020061500,80,1.0
2020061600,57,
2020061700,26,17.0
2020061800,25,17.0
2020061900,19,
2020062000,20,3.0
2020062100,20,
2020062200,24,3.0
2020062300,19,2.0
2020062400,22,3.0
2020062500,18,
2020062600,22,2.0
2020062700,23,2.0
2020062800,10,9.0
2020062900,17,2.0
2020063000,9,1.0
2020070100,16,
2020070200,14,
2020070300,20,2.0
2020070400,13,3.0
2020070500,19,
2020070600,15,
2020070700,58,1.0
2020070800,19,1.0
2020070900,20,3.0
2020071000,24,4.0
2020071100,18,
2020071200,17,5.0
2020071300,15,6.0
2020071400,20,7.0
2020071500,13,4.0
2020071600,19,
2020071700,15,4.0
2020071800,17,1.0
2020071900,11,1.0
2020072000,17,
2020072100,11,1.0
2020072200,21,
2020072300,10,
2020072400,19,
2020072500,10,
2020072600,11,3.0
2020072700,19,
2020072800,14,
2020072900,8,3.0
2020073000,16,
2020073100,14,3.0
2020080100,15,6.0
2020080200,19,2.0
2020080300,16,
2020080400,13,2.0
2020080500,11,2.0
2020080600,10,2.0
2020080700,14,
2020080800,10,2.0
2020080900,11,6.0
2020081000,28,3.0
2020081100,16,4.0
2020081200,18,3.0
2020081300,15,
2020081400,11,2.0
2020081500,7,
2020081600,16,4.0
2020081700,18,3.0
2020081800,13,2.0
2020081900,17,9.0
2020082000,18,5.0
2020082100,17,4.0
2020082200,8,
2020082300,22,
2020082400,22,3.0
2020082500,96,3.0
2020082600,24,4.0
2020082700,22,1.0
2020082800,15,7.0
2020082900,10,1.0
2020083000,13,
2020083100,23,4.0
2020090100,13,1.0
2020090200,13,2.0
2020090300,20,4.0
2020090400,11,1.0
2020090500,14,3.0
2020090600,9,1.0
2020090700,14,
2020090800,8,6.0
2020090900,15,
2020091000,14,1.0
2020091100,23,
2020091200,15,3.0
2020091300,21,1.0
2020091400,18,11.0
2020091500,9,28.0
2020091600,12,26.0
2020091700,20,27.0
2020091800,20,7.0
2020091900,16,20.0
2020092000,15,1.0
2020092100,11,9.0
2020092200,26,3.0
2020092300,20,
2020092400,12,
2020092500,16,18.0
2020092600,23,
2020092700,19,4.0
2020092800,21,11.0
2020092900,8,4.0
2020093000,14,1.0
2020100100,15,6.0
2020100200,37,14.0
2020100300,42,10.0
2020100400,32,8.0
2020100500,15,3.0
2020100600,18,5.0
2020100700,21,10.0
2020100800,27,6.0
2020100900,52,6.0
2020101000,27,4.0
2020101100,16,2.0
2020101200,22,15.0
2020101300,19,1.0
2020101400,14,2.0
2020101500,26,7.0
2020101600,28,1.0
2020101700,8,
2020101800,19,3.0
2020101900,10,2.0
2020102000,15,3.0
2020102100,24,6.0
2020102200,24,2.0
2020102300,31,3.0
2020102400,40,12.0
2020102500,14,13.0
2020102600,11,11.0
2020102700,6,4.0
2020102800,239,12.0
2020102900,8,5.0
2020103000,22,4.0
2020103100,14,5.0
2020110100,9,
2020110200,7,3.0
2020110300,25,4.0
2020110400,21,1.0
2020110500,26,11.0
2020110600,24,4.0
2020110700,13,2.0
2020110800,11,
2020110900,12,6.0
2020111000,10,2.0
2020111100,8,8.0
2020111200,10,2.0
2020111300,23,
2020111400,12,
2020111500,12,2.0
2020111600,14,
2020111700,10,
2020111800,6,2.0
2020111900,7,
2020112000,17,
2020112100,10,
2020112200,8,
