timestamp,views,edits
2021071500,8877,169.0
2021071600,53136,191.0
2021071700,45076,160.0
2021071800,42388,98.0
2021071900,45062,90.0
2021072000,27860,67.0
2021072100,17386,34.0
2021072200,8950,32.0
2021072300,6031,10.0
2021072400,5306,3.0
2021072500,5860,14.0
2021072600,6053,6.0
2021072700,4815,13.0
2021072800,3573,
2021072900,3702,5.0
2021073000,3599,3.0
2021073100,3022,8.0
2021080100,2928,1.0
2021080200,3265,2.0
2021080300,2550,2.0
2021080400,1969,
2021080500,1883,1.0
2021080600,1650,1.0
2021080700,1490,1.0
2021080800,1415,
2021080900,2066,
2021081000,1778,3.0
2021081100,1475,
2021081200,1514,2.0
2021081300,1791,6.0
2021081400,1627,10.0
2021081500,1459,
2021081600,1491,4.0
2021081700,1407,3.0
2021081800,1243,2.0
2021081900,1191,
2021082000,1082,
2021082100,829,1.0
2021082200,1079,1.0
2021082300,1264,1.0
2021082400,1168,
2021082500,925,1.0
2021082600,787,
2021082700,755,1.0
2021082800,719,
2021082900,925,2.0
2021083000,1043,4.0
2021083100,965,
2021090100,954,
2021090200,1622,3.0
2021090300,1297,
2021090400,778,
2021090500,762,
2021090600,951,
2021090700,1460,
2021090800,1026,
2021090900,950,
2021091000,713,1.0
2021091100,549,
2021091200,658,
2021091300,835,
2021091400,856,
2021091500,802,
2021091600,783,
2021091700,607,
2021091800,467,
2021091900,475,
2021092000,653,
2021092100,634,
2021092200,640,
2021092300,645,
2021092400,601,
2021092500,471,
2021092600,778,2.0
2021092700,1045,1.0
2021092800,666,
2021092900,700,
2021093000,647,
2021100100,502,
2021100200,408,
2021100300,520,
2021100400,600,
2021100500,660,
2021100600,725,
2021100700,610,1.0
2021100800,475,
2021100900,337,
2021101000,395,
2021101100,479,
2021101200,641,1.0
2021101300,667,1.0
2021101400,551,
2021101500,467,
2021101600,410,
2021101700,484,
2021101800,539,
2021101900,600,
2021102000,513,
2021102100,509,3.0
2021102200,352,
2021102300,279,
2021102400,288,
2021102500,476,
2021102600,553,
2021102700,520,
2021102800,670,1.0
2021102900,464,
2021103000,312,
2021103100,430,
2021110100,505,
2021110200,431,1.0
2021110300,596,
2021110400,461,
2021110500,370,2.0
2021110600,365,1.0
2021110700,406,
2021110800,524,1.0
2021110900,504,
2021111000,466,
2021111100,506,
2021111200,435,
2021111300,242,
2021111400,411,
2021111500,418,
2021111600,473,
2021111700,537,
2021111800,512,
2021111900,398,
2021112000,315,
2021112100,422,1.0
2021112200,789,
2021112300,1505,
2021112400,460,
2021112500,432,
2021112600,399,
2021112700,330,
2021112800,414,
2021112900,455,
2021113000,700,
2021120100,454,
2021120200,398,
2021120300,337,
2021120400,235,
2021120500,288,
2021120600,415,
2021120700,426,
2021120800,375,
2021120900,380,
2021121000,330,1.0
2021121100,336,
2021121200,396,
2021121300,633,
2021121400,430,
2021121500,410,
2021121600,371,
2021121700,298,
2021121800,274,
2021121900,296,
2021122000,444,
2021122100,381,
2021122200,369,
2021122300,310,
2021122400,313,
2021122500,248,
2021122600,241,
2021122700,451,
2021122800,449,
2021122900,475,
2021123000,402,
2021123100,402,
2022010100,304,
2022010200,351,
2022010300,355,
2022010400,389,
2022010500,303,2.0
2022010600,379,1.0
2022010700,342,10.0
2022010800,237,3.0
2022010900,296,
2022011000,459,
2022011100,462,
2022011200,466,1.0
2022011300,356,
2022011400,353,1.0
2022011500,226,
2022011600,294,
2022011700,408,
2022011800,344,
2022011900,377,
2022012000,331,
2022012100,311,
2022012200,241,
2022012300,233,
2022012400,338,
2022012500,341,
2022012600,325,
2022012700,316,
2022012800,272,
2022012900,226,
2022013000,262,2.0
2022013100,372,
2022020100,316,
