timestamp,views,edits
2015070100,100,
2015070200,114,
2015070300,82,
2015070400,91,
2015070500,83,
2015070600,120,
2015070700,93,
2015070800,91,
2015070900,126,
2015071000,69,
2015071100,57,
2015071200,82,
2015071300,103,
2015071400,107,
2015071500,102,
2015071600,94,
2015071700,81,
2015071800,78,
2015071900,86,
2015072000,75,
2015072100,100,
2015072200,115,
2015072300,99,
2015072400,76,
2015072500,62,
2015072600,75,
2015072700,106,
2015072800,87,
2015072900,94,
2015073000,106,
2015073100,71,
2015080100,76,
2015080200,91,
2015080300,83,
2015080400,62,
2015080500,63,
2015080600,71,
2015080700,66,
2015080800,63,
2015080900,83,
2015081000,77,
2015081100,111,
2015081200,119,
2015081300,96,
2015081400,79,
2015081500,70,
2015081600,82,
2015081700,122,
2015081800,90,
2015081900,73,
2015082000,85,
2015082100,93,
2015082200,77,
2015082300,74,
2015082400,109,
2015082500,97,
2015082600,116,
2015082700,77,
2015082800,93,
2015082900,86,
2015083000,94,
2015083100,114,
2015090100,65,
2015090200,124,
2015090300,63,
2015090400,99,
2015090500,98,
2015090600,114,
2015090700,165,
2015090800,168,
2015090900,128,
2015091000,138,
2015091100,119,
2015091200,87,
2015091300,139,
2015091400,117,
2015091500,129,
2015091600,116,
2015091700,205,
2015091800,144,
2015091900,180,
2015092000,167,
2015092100,150,
2015092200,136,
2015092300,194,
2015092400,142,
2015092500,122,
2015092600,76,
2015092700,117,
2015092800,217,
2015092900,246,
2015093000,159,
2015100100,194,
2015100200,100,
2015100300,81,
2015100400,140,
2015100500,206,
2015100600,200,
2015100700,198,
2015100800,302,
2015100900,169,
2015101000,114,
2015101100,167,
2015101200,419,
2015101300,391,
2015101400,269,
2015101500,242,
2015101600,161,
2015101700,115,
2015101800,200,
2015101900,263,
2015102000,324,1.0
2015102100,200,
2015102200,205,
2015102300,159,
2015102400,110,
2015102500,156,
2015102600,195,4.0
2015102700,197,
2015102800,316,2.0
2015102900,217,
2015103000,149,
2015103100,99,
2015110100,166,
2015110200,218,
2015110300,193,
2015110400,224,
2015110500,214,
2015110600,129,
2015110700,126,
2015110800,179,
2015110900,293,
2015111000,226,
2015111100,180,
2015111200,222,
2015111300,127,
2015111400,112,
2015111500,173,
2015111600,279,
2015111700,277,
2015111800,220,
2015111900,200,
2015112000,261,
2015112100,140,
2015112200,200,2.0
2015112300,432,
2015112400,298,
2015112500,185,
2015112600,224,
2015112700,166,
2015112800,110,
2015112900,130,
2015113000,227,2.0
2015120100,202,
2015120200,192,
2015120300,164,
2015120400,151,
2015120500,112,
2015120600,157,
2015120700,202,
2015120800,171,
2015120900,143,
2015121000,127,
2015121100,128,
2015121200,77,
2015121300,154,1.0
2015121400,127,1.0
2015121500,269,
2015121600,114,
2015121700,128,
2015121800,94,
2015121900,57,
2015122000,95,
2015122100,112,
2015122200,101,
2015122300,76,
2015122400,82,
2015122500,54,
2015122600,96,
2015122700,59,
2015122800,136,
2015122900,110,
2015123000,140,
2015123100,87,
2016010100,65,1.0
2016010200,101,
2016010300,132,
2016010400,145,
2016010500,164,
2016010600,172,
2016010700,154,
2016010800,141,
2016010900,119,
2016011000,190,
2016011100,238,
2016011200,148,
2016011300,141,
2016011400,140,
2016011500,125,
2016011600,116,
2016011700,127,
2016011800,150,
2016011900,131,
2016012000,174,
2016012100,172,
2016012200,122,
2016012300,67,
2016012400,149,
2016012500,279,
2016012600,149,
2016012700,198,
2016012800,183,
2016012900,179,
2016013000,86,
2016013100,124,
2016020100,183,
2016020200,240,
2016020300,217,
2016020400,207,
2016020500,202,
2016020600,142,
2016020700,133,
2016020800,180,
2016020900,170,
2016021000,170,
2016021100,156,
2016021200,117,
2016021300,78,
2016021400,114,
2016021500,141,
2016021600,146,
2016021700,137,
2016021800,111,
2016021900,108,1.0
2016022000,96,
2016022100,135,2.0
2016022200,161,1.0
2016022300,144,
2016022400,147,
2016022500,170,
2016022600,173,
2016022700,71,
2016022800,113,
2016022900,140,
2016030100,168,
2016030200,341,1.0
2016030300,165,
2016030400,159,
2016030500,94,
2016030600,159,2.0
2016030700,185,
2016030800,193,
2016030900,311,1.0
2016031000,187,
2016031100,147,
2016031200,116,
2016031300,149,
2016031400,187,
2016031500,168,
2016031600,152,
2016031700,135,
2016031800,99,
2016031900,74,
2016032000,104,
2016032100,202,
2016032200,134,
2016032300,211,
2016032400,127,
2016032500,81,
2016032600,94,
2016032700,85,
2016032800,129,
2016032900,132,
2016033000,147,
2016033100,132,
2016040100,132,
2016040200,112,
2016040300,133,
2016040400,160,
2016040500,275,
2016040600,2942,3.0
2016040700,330,
2016040800,156,1.0
2016040900,150,
2016041000,125,
2016041100,183,
2016041200,197,
2016041300,189,
2016041400,203,
2016041500,201,
2016041600,192,
2016041700,306,
2016041800,294,
2016041900,259,
2016042000,248,1.0
2016042100,174,
2016042200,156,
2016042300,129,
2016042400,145,
2016042500,187,
2016042600,216,
2016042700,176,
2016042800,179,
2016042900,124,
2016043000,92,
2016050100,136,
2016050200,173,
2016050300,148,
2016050400,148,
2016050500,126,
2016050600,132,
2016050700,96,
2016050800,106,
2016050900,158,
2016051000,139,
2016051100,152,
2016051200,121,
2016051300,129,
2016051400,114,
2016051500,121,
2016051600,178,
2016051700,210,
2016051800,154,
2016051900,159,
2016052000,157,
2016052100,106,
2016052200,143,
2016052300,194,
2016052400,201,
2016052500,150,
2016052600,137,
2016052700,177,
2016052800,71,
2016052900,77,
2016053000,106,
2016053100,131,
2016060100,112,
2016060200,108,1.0
2016060300,104,
2016060400,87,
2016060500,120,
2016060600,183,1.0
2016060700,197,
2016060800,235,
2016060900,150,
2016061000,101,
2016061100,83,
2016061200,95,
2016061300,137,
2016061400,160,
2016061500,126,
2016061600,142,
2016061700,101,
2016061800,76,
2016061900,92,
2016062000,144,
2016062100,90,
2016062200,117,
2016062300,136,
2016062400,123,
2016062500,66,
2016062600,80,
2016062700,113,
2016062800,105,
2016062900,111,
2016063000,85,
2016070100,111,
2016070200,64,
2016070300,88,
2016070400,136,
2016070500,135,
2016070600,106,
2016070700,143,
2016070800,129,
2016070900,95,
2016071000,92,
2016071100,137,
2016071200,131,
2016071300,124,
2016071400,110,
2016071500,93,
2016071600,73,
2016071700,93,
2016071800,114,
2016071900,90,
2016072000,86,
2016072100,90,
2016072200,94,
2016072300,61,
2016072400,77,
2016072500,69,
2016072600,82,
2016072700,76,
2016072800,81,
2016072900,59,
2016073000,68,
2016073100,77,
2016080100,84,
2016080200,81,
2016080300,100,
2016080400,80,
2016080500,81,
2016080600,74,
2016080700,73,
2016080800,65,
2016080900,66,
2016081000,70,
2016081100,59,
2016081200,70,
2016081300,57,
2016081400,87,
2016081500,73,
2016081600,63,
2016081700,93,
2016081800,69,
2016081900,63,
2016082000,48,
2016082100,68,
2016082200,126,
2016082300,127,
2016082400,31463,
2016082500,11359,4.0
