timestamp,views,edits
2020050700,10624,209.0
2020050800,24509,95.0
2020050900,21214,44.0
2020051000,19535,34.0
2020051100,42831,72.0
2020051200,13258,11.0
2020051300,7549,9.0
2020051400,6190,4.0
2020051500,6063,14.0
2020051600,5667,6.0
2020051700,6101,4.0
2020051800,5995,2.0
2020051900,5098,
2020052000,5793,3.0
2020052100,5032,1.0
2020052200,3326,1.0
2020052300,1854,2.0
2020052400,1852,1.0
2020052500,1760,
2020052600,2086,
2020052700,1842,9.0
2020052800,1889,
2020052900,1705,
2020053000,1446,
2020053100,1393,1.0
2020060100,1472,1.0
2020060200,1361,
2020060300,1536,2.0
2020060400,1706,
2020060500,2532,
2020060600,1697,6.0
2020060700,1567,
2020060800,1351,2.0
2020060900,1388,11.0
2020061000,1273,2.0
2020061100,1308,
2020061200,1299,2.0
2020061300,993,
2020061400,964,
2020061500,1221,2.0
2020061600,963,
2020061700,955,
2020061800,844,
2020061900,809,1.0
2020062000,995,
2020062100,686,
2020062200,826,
2020062300,767,
2020062400,783,
2020062500,828,3.0
2020062600,773,
2020062700,765,1.0
2020062800,705,
2020062900,792,
2020063000,1111,2.0
2020070100,703,
2020070200,632,
2020070300,664,4.0
2020070400,574,1.0
2020070500,607,1.0
2020070600,580,1.0
2020070700,692,
2020070800,760,1.0
2020070900,821,
2020071000,597,
2020071100,556,
2020071200,549,
2020071300,543,
2020071400,613,
2020071500,563,
2020071600,503,
2020071700,478,
2020071800,445,
2020071900,423,
2020072000,371,1.0
2020072100,371,
2020072200,430,
2020072300,465,
2020072400,391,
2020072500,507,2.0
2020072600,944,
2020072700,778,
2020072800,593,
2020072900,588,
2020073000,492,
2020073100,463,
2020080100,431,
2020080200,384,
2020080300,390,
2020080400,673,
2020080500,1069,1.0
2020080600,972,
2020080700,822,
2020080800,803,
2020080900,781,
2020081000,841,
2020081100,731,
2020081200,549,
2020081300,619,
2020081400,584,
2020081500,419,
2020081600,552,
2020081700,609,
2020081800,527,
2020081900,505,
2020082000,501,
2020082100,493,
2020082200,445,
2020082300,598,
2020082400,630,
2020082500,543,
2020082600,577,
2020082700,613,
2020082800,507,
2020082900,467,1.0
2020083000,518,
2020083100,487,
2020090100,572,
2020090200,562,
2020090300,490,
2020090400,503,
2020090500,464,
2020090600,505,
2020090700,530,
2020090800,539,
2020090900,837,
2020091000,586,
2020091100,568,
2020091200,519,
2020091300,522,
2020091400,545,
2020091500,526,
2020091600,514,
2020091700,659,
2020091800,664,
2020091900,611,
2020092000,607,
