timestamp,views,edits
2020021400,3836,24.0
2020021500,5519,20.0
2020021600,7886,25.0
2020021700,10385,41.0
2020021800,10968,3.0
2020021900,9766,9.0
2020022000,8824,1.0
2020022100,8302,5.0
2020022200,6908,8.0
2020022300,7015,5.0
2020022400,7847,4.0
2020022500,8686,3.0
2020022600,7863,7.0
2020022700,7382,3.0
2020022800,7060,
2020022900,8268,4.0
2020030100,6553,14.0
2020030200,8656,8.0
2020030300,9579,8.0
2020030400,9496,13.0
2020030500,9379,25.0
2020030600,10014,28.0
2020030700,8629,9.0
2020030800,8836,1.0
2020030900,9008,8.0
2020031000,9517,3.0
2020031100,12615,12.0
2020031200,16681,9.0
2020031300,22887,11.0
2020031400,25496,23.0
2020031500,23386,16.0
2020031600,20662,11.0
2020031700,16449,9.0
2020031800,15845,14.0
2020031900,17121,5.0
2020032000,14914,12.0
2020032100,10937,11.0
2020032200,9645,2.0
2020032300,10558,2.0
2020032400,13285,2.0
2020032500,11724,1.0
2020032600,11869,15.0
2020032700,12218,6.0
2020032800,11436,5.0
2020032900,11715,
2020033000,27320,19.0
2020033100,18482,10.0
2020040100,12324,14.0
2020040200,8912,30.0
2020040300,8850,15.0
2020040400,8370,2.0
2020040500,8913,30.0
2020040600,8176,10.0
2020040700,8195,27.0
2020040800,7745,5.0
2020040900,8597,4.0
2020041000,8358,11.0
2020041100,6917,5.0
2020041200,5669,2.0
2020041300,5586,2.0
2020041400,5591,
2020041500,4988,2.0
2020041600,4457,
2020041700,3944,
2020041800,3458,
2020041900,3612,3.0
2020042000,3853,2.0
2020042100,3648,5.0
2020042200,3574,9.0
2020042300,3695,23.0
2020042400,3205,
2020042500,3070,24.0
2020042600,3050,5.0
2020042700,3119,15.0
2020042800,3404,13.0
2020042900,3350,2.0
2020043000,3642,44.0
2020050100,3242,
2020050200,3164,8.0
2020050300,2964,3.0
2020050400,3658,1.0
2020050500,3579,1.0
2020050600,3503,2.0
2020050700,3300,4.0
2020050800,2895,1.0
2020050900,2807,13.0
2020051000,2712,1.0
2020051100,3260,8.0
2020051200,2796,8.0
2020051300,2610,1.0
2020051400,2434,
2020051500,2464,4.0
2020051600,2167,
2020051700,2242,
2020051800,2170,7.0
2020051900,2364,1.0
2020052000,2409,2.0
2020052100,2405,3.0
2020052200,2360,2.0
2020052300,2226,1.0
2020052400,2329,2.0
2020052500,2489,
2020052600,2686,3.0
2020052700,2185,1.0
2020052800,2148,3.0
2020052900,2173,
2020053000,1787,
2020053100,2039,1.0
2020060100,2563,1.0
2020060200,2580,1.0
2020060300,2805,1.0
2020060400,2347,2.0
2020060500,1883,
2020060600,1920,2.0
2020060700,2068,
2020060800,2339,
2020060900,2045,
2020061000,2018,
2020061100,1893,2.0
2020061200,1662,
2020061300,2170,8.0
2020061400,2103,1.0
2020061500,2270,
2020061600,2136,
2020061700,2032,
2020061800,2092,2.0
2020061900,1725,
2020062000,1720,1.0
2020062100,1915,
2020062200,2362,
2020062300,2082,5.0
2020062400,3452,3.0
2020062500,3478,5.0
2020062600,1945,1.0
2020062700,1896,6.0
2020062800,1943,2.0
2020062900,1799,2.0
2020063000,1671,1.0
2020070100,1718,3.0
2020070200,1488,
2020070300,1332,
2020070400,1418,
2020070500,1512,
2020070600,1669,1.0
2020070700,1611,
2020070800,1737,
2020070900,1797,5.0
2020071000,1803,5.0
2020071100,1526,
2020071200,1517,1.0
2020071300,1870,2.0
2020071400,1748,
2020071500,1815,1.0
2020071600,1868,
2020071700,1894,
2020071800,1851,
2020071900,2033,
2020072000,2206,
2020072100,1847,2.0
2020072200,1890,3.0
2020072300,1751,5.0
2020072400,1715,1.0
2020072500,1510,
2020072600,1589,
2020072700,1733,3.0
2020072800,1842,2.0
2020072900,1790,
2020073000,1742,1.0
2020073100,1553,1.0
2020080100,1536,5.0
2020080200,1679,3.0
2020080300,1576,
2020080400,1587,
2020080500,1476,1.0
2020080600,1433,
2020080700,1316,
2020080800,1091,
2020080900,1239,1.0
2020081000,1263,
2020081100,1325,1.0
2020081200,1292,
2020081300,1374,
2020081400,1188,
2020081500,1143,
2020081600,1143,1.0
2020081700,1358,1.0
2020081800,1166,
2020081900,1230,8.0
2020082000,1471,
2020082100,1212,
2020082200,1030,
2020082300,1433,
2020082400,1870,6.0
2020082500,1754,1.0
2020082600,1708,7.0
2020082700,1668,
2020082800,1623,1.0
2020082900,1424,2.0
2020083000,1297,
2020083100,1446,
2020090100,1397,1.0
2020090200,1459,
2020090300,1441,
2020090400,1466,
2020090500,1327,
2020090600,1451,
2020090700,1618,
2020090800,1793,
2020090900,1552,
2020091000,1332,
2020091100,1307,
2020091200,1206,2.0
2020091300,1379,8.0
2020091400,1609,1.0
2020091500,1500,
2020091600,1405,2.0
2020091700,1333,
2020091800,1419,
2020091900,1267,
2020092000,1314,
2020092100,1386,
2020092200,1349,
2020092300,1403,5.0
2020092400,1413,
2020092500,1386,
2020092600,1162,
2020092700,1307,
2020092800,1361,
2020092900,1485,
2020093000,1273,
2020100100,1224,3.0
2020100200,2585,1.0
2020100300,2220,1.0
2020100400,2250,
2020100500,2102,
2020100600,1960,1.0
2020100700,1582,
2020100800,1565,
2020100900,1599,
2020101000,1568,1.0
2020101100,1589,
2020101200,1876,
2020101300,1711,
2020101400,1653,
2020101500,1652,
2020101600,1621,
2020101700,1542,
2020101800,1536,
2020101900,1700,
2020102000,1673,
2020102100,1600,
2020102200,1518,
2020102300,1514,2.0
2020102400,1348,
2020102500,1557,1.0
2020102600,1778,
2020102700,1503,
2020102800,1555,
2020102900,1509,
2020103000,1456,1.0
2020103100,1339,
2020110100,1311,
2020110200,1426,
2020110300,1293,
2020110400,1245,
2020110500,1200,
2020110600,1272,
2020110700,1101,
2020110800,1224,
2020110900,1552,
2020111000,1554,
2020111100,1405,
2020111200,1353,
2020111300,1305,
2020111400,1179,
2020111500,1442,
2020111600,1872,1.0
2020111700,2112,4.0
2020111800,1747,
2020111900,1517,
2020112000,1469,
2020112100,1372,2.0
2020112200,1341,
2020112300,1928,
2020112400,1612,
2020112500,1690,
2020112600,1545,
2020112700,1375,
2020112800,1167,
2020112900,1242,
2020113000,1577,
2020120100,1741,
2020120200,1540,
2020120300,1187,
2020120400,1287,
2020120500,1503,12.0
2020120600,1570,1.0
2020120700,1772,1.0
2020120800,2077,2.0
2020120900,1942,1.0
2020121000,2016,2.0
2020121100,1732,
2020121200,1738,5.0
2020121300,1737,
2020121400,1817,1.0
2020121500,1758,
2020121600,2070,1.0
2020121700,2104,1.0
2020121800,1825,
2020121900,1500,1.0
2020122000,2010,
2020122100,3205,3.0
2020122200,3105,
2020122300,2807,
2020122400,2371,1.0
2020122500,2020,
2020122600,2675,2.0
2020122700,2533,2.0
2020122800,2482,
2020122900,2696,1.0
2020123000,2786,6.0
2020123100,2667,19.0
2021010100,1791,1.0
2021010200,1844,
2021010300,2110,
2021010400,2388,1.0
2021010500,2373,
2021010600,2480,
2021010700,2090,2.0
2021010800,2145,2.0
2021010900,1713,
2021011000,1967,1.0
2021011100,2293,
2021011200,2425,
2021011300,2401,
2021011400,2214,
2021011500,1955,6.0
2021011600,1737,
2021011700,1782,
2021011800,2135,5.0
2021011900,2496,
2021012000,2989,
2021012100,2353,
2021012200,2351,
2021012300,2056,
2021012400,2088,1.0
2021012500,2400,
2021012600,2176,
2021012700,2012,
2021012800,1903,
2021012900,1850,23.0
2021013000,1521,2.0
2021013100,1711,2.0
2021020100,1943,
2021020200,1698,3.0
2021020300,1695,2.0
2021020400,1613,
2021020500,1626,4.0
2021020600,1357,
2021020700,1442,
2021020800,1450,
2021020900,1640,1.0
2021021000,1266,
2021021100,955,
2021021200,1009,1.0
2021021300,992,
2021021400,1114,2.0
2021021500,1365,
2021021600,1278,
2021021700,1312,
2021021800,1385,
2021021900,1458,
2021022000,1364,1.0
2021022100,1277,
2021022200,1410,
2021022300,1530,
2021022400,1419,
2021022500,1276,
2021022600,1214,
2021022700,1171,
2021022800,1144,
2021030100,1209,
2021030200,1397,
2021030300,1303,
2021030400,1267,
2021030500,1141,
2021030600,1021,
2021030700,1111,
2021030800,1336,2.0
2021030900,1133,
2021031000,1273,
2021031100,1179,
2021031200,1281,
2021031300,1152,
2021031400,1132,
2021031500,1238,
2021031600,1291,1.0
2021031700,1334,
2021031800,1328,
2021031900,1287,2.0
2021032000,1070,
2021032100,1163,
2021032200,1314,
2021032300,1542,
2021032400,1250,
2021032500,1383,2.0
2021032600,1242,
2021032700,1115,
2021032800,1175,1.0
2021032900,1285,
2021033000,1302,
