timestamp,views,edits
2020022100,405,7.0
2020022200,1467,7.0
2020022300,3387,1.0
2020022400,7053,7.0
2020022500,10466,26.0
2020022600,9955,30.0
2020022700,9286,13.0
2020022800,9269,15.0
2020022900,8650,51.0
2020030100,9037,20.0
2020030200,12157,20.0
2020030300,10784,42.0
2020030400,9840,33.0
2020030500,11114,67.0
2020030600,13878,26.0
2020030700,11481,14.0
2020030800,13007,45.0
2020030900,15686,64.0
2020031000,17677,62.0
2020031100,18581,25.0
2020031200,36159,41.0
2020031300,42486,18.0
2020031400,38587,67.0
2020031500,46656,35.0
2020031600,46630,1.0
2020031700,42903,8.0
2020031800,56429,40.0
2020031900,48751,37.0
2020032000,34005,23.0
2020032100,34327,36.0
2020032200,35189,33.0
2020032300,32816,37.0
2020032400,36324,39.0
2020032500,33737,19.0
2020032600,28258,10.0
2020032700,27521,52.0
2020032800,26609,61.0
2020032900,28412,70.0
2020033000,24677,29.0
2020033100,22434,23.0
2020040100,22064,21.0
2020040200,19828,22.0
2020040300,17833,31.0
2020040400,16447,18.0
2020040500,15160,36.0
2020040600,14663,11.0
2020040700,14165,15.0
2020040800,13200,14.0
2020040900,12121,4.0
2020041000,11331,18.0
2020041100,10230,3.0
2020041200,9646,18.0
2020041300,10711,5.0
2020041400,10337,9.0
2020041500,10047,19.0
2020041600,9558,34.0
2020041700,11239,9.0
2020041800,9200,19.0
2020041900,9541,33.0
2020042000,8785,30.0
2020042100,8226,49.0
2020042200,8052,24.0
2020042300,7320,9.0
2020042400,7278,30.0
2020042500,6175,44.0
2020042600,6708,55.0
2020042700,7197,24.0
2020042800,7491,19.0
2020042900,7067,39.0
2020043000,6163,18.0
2020050100,5943,23.0
2020050200,5122,18.0
2020050300,5513,6.0
2020050400,5759,6.0
2020050500,5409,3.0
2020050600,4637,6.0
2020050700,4629,2.0
2020050800,4473,18.0
2020050900,5093,2.0
2020051000,5345,9.0
2020051100,5241,14.0
2020051200,6010,11.0
2020051300,6414,19.0
2020051400,6045,15.0
2020051500,5458,6.0
2020051600,4639,11.0
2020051700,4407,17.0
2020051800,4831,29.0
2020051900,4379,16.0
2020052000,4460,17.0
2020052100,3807,5.0
2020052200,3479,4.0
2020052300,3387,5.0
2020052400,3258,6.0
2020052500,3744,4.0
2020052600,3827,8.0
2020052700,3662,9.0
2020052800,3901,10.0
2020052900,3314,8.0
2020053000,2705,1.0
2020053100,2764,20.0
2020060100,2982,21.0
2020060200,2966,19.0
2020060300,3028,24.0
2020060400,3021,1.0
2020060500,2658,2.0
2020060600,2330,4.0
2020060700,2589,4.0
2020060800,3022,
2020060900,2676,
2020061000,2632,7.0
2020061100,2542,
2020061200,2487,5.0
2020061300,2253,2.0
2020061400,2415,14.0
2020061500,2624,4.0
2020061600,2557,6.0
2020061700,2427,1.0
2020061800,2212,1.0
2020061900,2026,
2020062000,2035,
2020062100,2032,
2020062200,2132,
2020062300,1900,1.0
2020062400,1839,4.0
2020062500,1901,4.0
2020062600,1830,1.0
2020062700,1630,
2020062800,1864,
2020062900,1811,1.0
2020063000,1894,
2020070100,1841,7.0
2020070200,1564,
2020070300,1504,6.0
2020070400,1368,1.0
2020070500,1522,6.0
2020070600,2151,4.0
2020070700,1621,2.0
2020070800,1694,4.0
2020070900,1567,6.0
2020071000,1546,
2020071100,1461,
2020071200,1628,4.0
2020071300,1714,3.0
2020071400,1907,
2020071500,1732,
2020071600,1804,
2020071700,1801,
2020071800,1735,1.0
2020071900,1776,
2020072000,1848,2.0
2020072100,1667,2.0
2020072200,1656,
2020072300,1602,
2020072400,1608,1.0
2020072500,1418,2.0
2020072600,1558,1.0
2020072700,1661,4.0
2020072800,1660,
2020072900,1572,3.0
2020073000,1463,
2020073100,1307,
2020080100,1325,1.0
2020080200,1521,
2020080300,1573,
2020080400,1474,2.0
2020080500,1496,6.0
2020080600,1309,1.0
2020080700,1282,1.0
2020080800,1576,3.0
2020080900,1515,
2020081000,1505,
2020081100,1565,2.0
2020081200,1437,
2020081300,1383,2.0
2020081400,1451,1.0
2020081500,1379,3.0
2020081600,1403,4.0
2020081700,1517,
2020081800,1443,1.0
2020081900,1505,5.0
2020082000,1518,1.0
2020082100,1462,3.0
2020082200,1245,2.0
2020082300,1272,
2020082400,1441,
2020082500,1452,1.0
2020082600,1422,2.0
2020082700,1478,
2020082800,1505,
2020082900,1355,
2020083000,1435,
2020083100,1639,1.0
2020090100,1549,
2020090200,1549,
2020090300,1754,7.0
2020090400,1820,2.0
2020090500,1609,3.0
2020090600,1778,
2020090700,1939,1.0
2020090800,1991,1.0
2020090900,2289,7.0
2020091000,2351,4.0
2020091100,2090,
2020091200,1959,2.0
2020091300,2143,2.0
2020091400,2374,
2020091500,2145,2.0
2020091600,2185,
2020091700,2255,2.0
2020091800,2424,4.0
2020091900,2305,4.0
2020092000,2370,6.0
2020092100,2412,
2020092200,2458,
2020092300,3331,3.0
2020092400,2782,2.0
2020092500,1658,
2020092600,1599,
2020092700,1801,
2020092800,1849,12.0
2020092900,1731,3.0
2020093000,1790,8.0
2020100100,1680,
2020100200,1814,7.0
2020100300,1691,1.0
2020100400,2177,
2020100500,2050,4.0
2020100600,1959,
2020100700,1870,7.0
2020100800,1799,2.0
2020100900,1846,
2020101000,1810,2.0
2020101100,2090,
2020101200,2120,
2020101300,2096,
2020101400,2308,4.0
2020101500,2032,2.0
2020101600,1932,1.0
2020101700,1710,1.0
2020101800,1996,2.0
2020101900,2074,
2020102000,2032,
2020102100,2002,4.0
2020102200,2384,1.0
2020102300,2400,3.0
2020102400,2217,7.0
2020102500,2401,
2020102600,2507,
2020102700,2636,
2020102800,3011,5.0
2020102900,2499,2.0
2020103000,2487,7.0
2020103100,2437,4.0
2020110100,2397,3.0
2020110200,2295,6.0
2020110300,2294,7.0
2020110400,2466,
2020110500,2013,1.0
2020110600,2032,
2020110700,2099,1.0
2020110800,2361,5.0
2020110900,2427,2.0
2020111000,2647,7.0
2020111100,2531,
2020111200,2319,4.0
2020111300,2080,
2020111400,2232,2.0
2020111500,2476,5.0
2020111600,2509,3.0
2020111700,4278,
2020111800,2948,4.0
2020111900,2446,8.0
2020112000,1988,5.0
2020112100,1916,3.0
2020112200,2251,2.0
2020112300,2131,6.0
2020112400,2222,
2020112500,2103,4.0
2020112600,1822,
2020112700,1460,
2020112800,1607,6.0
2020112900,2013,1.0
2020113000,1816,5.0
2020120100,1786,
2020120200,2183,2.0
2020120300,4169,
2020120400,1752,
2020120500,1542,11.0
2020120600,1720,13.0
2020120700,1849,13.0
2020120800,1699,
2020120900,1781,1.0
2020121000,1721,10.0
2020121100,1831,
2020121200,1571,1.0
2020121300,1795,1.0
2020121400,1817,9.0
2020121500,1887,2.0
2020121600,1713,
2020121700,1731,2.0
2020121800,1646,
2020121900,1772,2.0
2020122000,2056,
2020122100,2182,
2020122200,2041,1.0
2020122300,1753,1.0
2020122400,1478,2.0
2020122500,1364,
2020122600,1720,6.0
2020122700,1850,1.0
2020122800,1753,
2020122900,1720,
2020123000,1710,
2020123100,1431,
2021010100,1445,4.0
2021010200,1570,
2021010300,1689,
2021010400,1743,
2021010500,2001,9.0
2021010600,1946,4.0
2021010700,1680,1.0
2021010800,1560,3.0
2021010900,1516,4.0
2021011000,1650,2.0
2021011100,1873,2.0
2021011200,1825,5.0
2021011300,1813,13.0
2021011400,1925,4.0
2021011500,1409,
2021011600,1466,3.0
2021011700,1633,3.0
2021011800,1487,7.0
2021011900,1477,15.0
2021012000,1544,3.0
2021012100,1506,
2021012200,1510,2.0
2021012300,1551,
2021012400,1655,3.0
2021012500,1800,3.0
2021012600,1669,1.0
2021012700,1498,
2021012800,1430,6.0
2021012900,1312,1.0
2021013000,1263,
2021013100,1369,5.0
2021020100,1401,
2021020200,1413,6.0
2021020300,1398,
2021020400,1192,
2021020500,1112,1.0
2021020600,1195,
2021020700,1216,2.0
2021020800,1289,
2021020900,1311,
2021021000,1242,
2021021100,1147,
2021021200,1024,
2021021300,988,
2021021400,1055,7.0
2021021500,1164,3.0
2021021600,1172,3.0
2021021700,1003,
2021021800,1023,2.0
2021021900,1013,3.0
2021022000,978,
2021022100,998,
2021022200,1078,1.0
2021022300,1081,
2021022400,1194,
2021022500,1184,1.0
2021022600,1105,
2021022700,1208,3.0
2021022800,1084,
2021030100,1234,
2021030200,1154,
2021030300,1090,
2021030400,1060,
2021030500,1052,2.0
2021030600,968,1.0
2021030700,1097,
2021030800,1031,2.0
2021030900,1090,
2021031000,1163,2.0
2021031100,1169,2.0
2021031200,1055,
2021031300,922,
2021031400,1036,
2021031500,1224,1.0
2021031600,1204,
2021031700,1177,1.0
2021031800,1234,2.0
2021031900,1019,
2021032000,873,1.0
2021032100,1092,
2021032200,1186,
2021032300,1265,
2021032400,1331,2.0
2021032500,1311,1.0
2021032600,1146,
2021032700,1191,3.0
2021032800,1083,2.0
2021032900,1314,
2021033000,1265,
2021033100,1372,6.0
2021040100,1329,2.0
2021040200,1117,5.0
2021040300,1057,3.0
2021040400,954,
2021040500,1152,
2021040600,1181,
2021040700,1089,3.0
2021040800,1168,7.0
2021040900,1051,2.0
2021041000,967,
2021041100,1086,2.0
2021041200,1148,7.0
2021041300,1019,
2021041400,1076,
2021041500,1101,
2021041600,999,3.0
2021041700,1010,
2021041800,963,
2021041900,1107,1.0
2021042000,1057,
2021042100,1035,
2021042200,1032,
2021042300,886,
2021042400,874,1.0
2021042500,939,
2021042600,1138,1.0
2021042700,1057,3.0
2021042800,1066,5.0
2021042900,917,
2021043000,897,
2021050100,800,
2021050200,835,
2021050300,1024,2.0
2021050400,973,2.0
2021050500,1067,12.0
2021050600,962,1.0
2021050700,994,
2021050800,713,
2021050900,874,1.0
2021051000,1055,7.0
2021051100,1038,
2021051200,823,2.0
2021051300,821,2.0
2021051400,918,5.0
2021051500,818,
2021051600,940,
2021051700,1012,2.0
2021051800,1045,1.0
2021051900,910,1.0
2021052000,946,
2021052100,852,2.0
2021052200,737,
2021052300,894,1.0
2021052400,866,1.0
2021052500,930,
2021052600,950,
2021052700,912,
2021052800,751,
2021052900,714,2.0
2021053000,817,
2021053100,932,
2021060100,821,
2021060200,929,1.0
2021060300,782,1.0
2021060400,734,2.0
2021060500,786,
2021060600,743,
2021060700,904,
2021060800,872,
2021060900,762,
2021061000,828,2.0
2021061100,777,
2021061200,608,
2021061300,783,2.0
2021061400,711,2.0
2021061500,701,
2021061600,771,
2021061700,723,2.0
2021061800,697,
2021061900,616,
2021062000,748,
2021062100,873,
2021062200,775,
2021062300,659,
2021062400,628,
2021062500,665,
2021062600,674,
2021062700,633,2.0
2021062800,740,
2021062900,704,
2021063000,664,
2021070100,805,
2021070200,691,
2021070300,723,
2021070400,750,
2021070500,894,
2021070600,830,
2021070700,858,2.0
2021070800,892,
2021070900,883,2.0
2021071000,751,
2021071100,714,
2021071200,967,
2021071300,1110,
2021071400,1010,
2021071500,981,
2021071600,1104,4.0
2021071700,900,1.0
2021071800,923,3.0
2021071900,991,3.0
2021072000,999,
2021072100,1041,2.0
2021072200,1113,4.0
2021072300,1036,2.0
2021072400,978,1.0
2021072500,1162,2.0
2021072600,1075,
2021072700,1150,
2021072800,1097,1.0
2021072900,1118,
2021073000,960,
2021073100,906,
2021080100,988,
2021080200,969,1.0
2021080300,1054,5.0
2021080400,1047,3.0
2021080500,900,
2021080600,937,6.0
2021080700,898,
2021080800,905,1.0
2021080900,1075,
2021081000,899,
2021081100,781,2.0
2021081200,919,1.0
2021081300,831,
2021081400,762,
2021081500,768,2.0
2021081600,778,
2021081700,744,4.0
2021081800,850,7.0
2021081900,828,1.0
2021082000,812,
2021082100,662,1.0
2021082200,728,
2021082300,792,1.0
2021082400,751,
2021082500,690,
2021082600,750,
2021082700,640,
2021082800,651,
2021082900,710,
2021083000,775,2.0
2021083100,757,
2021090100,751,1.0
2021090200,638,
2021090300,676,1.0
2021090400,576,
2021090500,611,1.0
2021090600,599,1.0
2021090700,576,6.0
2021090800,638,1.0
2021090900,710,
2021091000,669,
2021091100,508,
2021091200,559,
2021091300,591,
2021091400,660,1.0
2021091500,741,1.0
2021091600,688,1.0
2021091700,611,
2021091800,514,1.0
2021091900,600,
2021092000,609,
2021092100,629,
2021092200,759,2.0
2021092300,634,1.0
2021092400,567,
2021092500,598,
2021092600,812,
2021092700,719,
2021092800,789,1.0
2021092900,702,1.0
2021093000,621,2.0
2021100100,663,
2021100200,757,
2021100300,770,
2021100400,818,1.0
2021100500,981,
2021100600,776,
2021100700,806,
2021100800,674,
2021100900,687,
2021101000,945,
2021101100,872,
2021101200,838,
2021101300,1042,2.0
2021101400,775,
2021101500,678,3.0
2021101600,708,
2021101700,846,
2021101800,683,
2021101900,867,
2021102000,910,2.0
2021102100,822,
2021102200,759,
2021102300,712,
2021102400,809,1.0
2021102500,776,
2021102600,926,
2021102700,992,3.0
2021102800,854,
2021102900,678,
2021103000,904,2.0
2021103100,910,
2021110100,961,
2021110200,1167,
2021110300,1201,
2021110400,1386,
2021110500,2486,
2021110600,1351,1.0
2021110700,911,
2021110800,867,
2021110900,940,1.0
2021111000,874,
2021111100,864,
2021111200,1011,
2021111300,1344,11.0
2021111400,873,
2021111500,917,
2021111600,928,
2021111700,1033,1.0
2021111800,895,2.0
2021111900,996,
2021112000,1015,2.0
2021112100,1025,
2021112200,1107,
2021112300,1187,
2021112400,1041,3.0
2021112500,948,2.0
2021112600,947,2.0
2021112700,971,1.0
2021112800,1173,
2021112900,1242,2.0
2021113000,1082,2.0
2021120100,1013,
2021120200,991,1.0
2021120300,894,1.0
2021120400,804,
2021120500,939,1.0
2021120600,1180,
2021120700,1024,4.0
2021120800,1159,2.0
2021120900,917,
2021121000,837,7.0
2021121100,712,
2021121200,754,
2021121300,928,2.0
2021121400,906,
2021121500,899,3.0
2021121600,837,
2021121700,878,1.0
2021121800,763,
2021121900,923,
2021122000,1121,1.0
2021122100,1168,
2021122200,1141,3.0
2021122300,1051,3.0
2021122400,894,3.0
2021122500,993,1.0
2021122600,1047,
2021122700,1254,2.0
2021122800,1363,5.0
2021122900,1468,2.0
2021123000,1370,
2021123100,1171,3.0
2022010100,1220,2.0
2022010200,1405,
2022010300,1808,
2022010400,1765,3.0
2022010500,1707,4.0
2022010600,1512,
2022010700,1349,1.0
2022010800,1383,
2022010900,1451,10.0
2022011000,1406,1.0
2022011100,1429,7.0
2022011200,1120,2.0
2022011300,1102,2.0
2022011400,1136,
2022011500,951,
2022011600,1026,
2022011700,1077,
2022011800,1191,
2022011900,1100,
2022012000,1102,1.0
2022012100,1165,4.0
2022012200,852,
2022012300,900,2.0
2022012400,1069,
2022012500,974,
2022012600,1047,
2022012700,1058,1.0
2022012800,832,
2022012900,730,
2022013000,732,
2022013100,818,
2022020100,792,
2022020200,1008,
2022020300,933,1.0
2022020400,837,
2022020500,608,
2022020600,690,
2022020700,625,
2022020800,686,
2022020900,626,1.0
2022021000,602,
2022021100,525,1.0
2022021200,530,
2022021300,514,
2022021400,651,4.0
2022021500,656,
2022021600,585,
2022021700,610,
2022021800,706,
2022021900,434,
2022022000,513,
2022022100,597,
2022022200,551,
2022022300,523,
2022022400,473,
2022022500,449,
2022022600,363,
2022022700,365,
2022022800,615,2.0
2022030100,458,
2022030200,451,1.0
2022030300,469,
2022030400,573,2.0
2022030500,523,
2022030600,514,2.0
2022030700,491,
2022030800,602,
2022030900,597,
2022031000,532,
2022031100,528,2.0
2022031200,566,1.0
2022031300,513,
2022031400,664,
2022031500,635,
2022031600,577,
2022031700,530,
2022031800,471,3.0
2022031900,470,
2022032000,432,
2022032100,464,
2022032200,485,1.0
2022032300,568,
2022032400,588,
2022032500,577,1.0
