timestamp,views,edits
2015070100,1267,
2015070200,1493,1.0
2015070300,1320,
2015070400,1207,
2015070500,1379,
2015070600,1556,1.0
2015070700,1612,
2015070800,1458,
2015070900,2079,
2015071000,1562,2.0
2015071100,1387,
2015071200,2356,
2015071300,2458,
2015071400,1694,
2015071500,1627,
2015071600,1882,
2015071700,1372,
2015071800,1171,
2015071900,1095,
2015072000,1278,
2015072100,1541,
2015072200,1526,
2015072300,1356,
2015072400,1102,
2015072500,870,
2015072600,1061,
2015072700,1137,
2015072800,1154,
2015072900,1122,
2015073000,1170,
2015073100,1033,
2015080100,868,
2015080200,838,
2015080300,1315,
2015080400,1418,
2015080500,1513,
2015080600,1869,
2015080700,1350,
2015080800,1222,
2015080900,1326,
2015081000,1776,
2015081100,1989,
2015081200,1576,
2015081300,1514,
2015081400,1725,
2015081500,1466,
2015081600,1496,
2015081700,1618,
2015081800,1887,
2015081900,1606,
2015082000,1416,
2015082100,1451,
2015082200,1454,
2015082300,1438,
2015082400,1716,
2015082500,1674,
2015082600,1543,
2015082700,1613,
2015082800,1715,1.0
2015082900,1328,
2015083000,1441,
2015083100,2181,
2015090100,2093,
2015090200,1670,
2015090300,1589,
2015090400,1511,
2015090500,1473,
2015090600,1866,
2015090700,1649,
2015090800,1830,
2015090900,1666,
2015091000,2509,1.0
2015091100,5172,2.0
2015091200,3522,
2015091300,2175,
2015091400,2516,
2015091500,1887,
2015091600,1920,
2015091700,9418,
2015091800,5207,
2015091900,1883,
2015092000,1478,
2015092100,1344,
2015092200,1339,
2015092300,1546,1.0
2015092400,1602,3.0
2015092500,1494,
2015092600,1413,
2015092700,1410,
2015092800,1807,
2015092900,1576,
2015093000,1420,2.0
2015100100,1367,
2015100200,1330,
2015100300,1147,
2015100400,1248,
2015100500,1536,
2015100600,1536,
2015100700,1573,
2015100800,1635,
2015100900,1319,
2015101000,1194,
2015101100,1177,
2015101200,1326,
2015101300,1442,
2015101400,1473,
2015101500,1436,1.0
2015101600,1331,1.0
2015101700,1178,
2015101800,1424,
2015101900,1668,
2015102000,1694,
2015102100,2080,
2015102200,1724,
2015102300,1601,
2015102400,1084,
2015102500,1190,
2015102600,2022,2.0
2015102700,1659,
2015102800,1482,
2015102900,1406,
2015103000,1177,
2015103100,1028,
2015110100,1107,
2015110200,1252,
2015110300,1200,1.0
2015110400,1472,1.0
2015110500,1450,
2015110600,1212,
2015110700,1372,
2015110800,1255,
2015110900,1448,
2015111000,1536,
2015111100,1361,
2015111200,1478,
2015111300,2062,
2015111400,1976,1.0
2015111500,1534,
2015111600,1617,
2015111700,1737,2.0
2015111800,1582,
2015111900,1631,
2015112000,1411,
2015112100,1042,
2015112200,1135,
2015112300,1222,
2015112400,1653,
2015112500,1430,
2015112600,1511,
2015112700,1380,
2015112800,1140,
2015112900,1259,
2015113000,1463,
2015120100,1458,
2015120200,1707,
2015120300,1546,
2015120400,1437,
2015120500,1385,
2015120600,1302,
2015120700,1673,
2015120800,1508,
2015120900,1390,
2015121000,1468,
2015121100,1493,
2015121200,1109,
2015121300,1225,
2015121400,1685,
2015121500,1591,
2015121600,1709,
2015121700,1761,
2015121800,1480,
2015121900,1157,
2015122000,1085,
2015122100,1605,
2015122200,1501,
2015122300,1383,4.0
2015122400,1348,
2015122500,1354,
2015122600,1554,
2015122700,1250,
2015122800,1599,
2015122900,1067,
2015123000,1176,
2015123100,1353,
2016010100,950,
2016010200,977,
2016010300,1317,
2016010400,2128,
2016010500,1753,
2016010600,1939,
2016010700,2031,
2016010800,1702,
2016010900,1438,1.0
2016011000,1442,
2016011100,2887,
2016011200,2024,
2016011300,1876,
2016011400,4714,
2016011500,2145,
2016011600,2417,1.0
2016011700,3722,
2016011800,2241,
2016011900,1951,
2016012000,1795,
2016012100,1758,
2016012200,1643,
2016012300,1374,
2016012400,1645,
2016012500,1720,1.0
2016012600,1784,
2016012700,1589,1.0
2016012800,1739,
2016012900,1580,
2016013000,1360,
2016013100,1409,
2016020100,1667,
2016020200,1983,3.0
2016020300,1644,
2016020400,1755,
2016020500,2062,
2016020600,3290,
2016020700,2925,
2016020800,2497,
2016020900,1857,1.0
2016021000,1738,
2016021100,2253,
2016021200,1821,1.0
2016021300,1521,
2016021400,1735,
2016021500,2287,
2016021600,1962,
2016021700,1821,
2016021800,10914,
2016021900,1905,
2016022000,1664,
2016022100,1720,
2016022200,2503,
2016022300,1921,
2016022400,2105,
2016022500,1942,
2016022600,1971,
2016022700,1958,
2016022800,2053,
2016022900,2580,1.0
2016030100,3295,2.0
2016030200,5787,
2016030300,3539,
2016030400,6240,
2016030500,4198,
2016030600,4942,2.0
2016030700,4949,1.0
2016030800,5013,1.0
2016030900,7381,
2016031000,35053,
2016031100,85124,
2016031200,7081,1.0
2016031300,4824,
2016031400,3204,
2016031500,2464,
2016031600,2154,
2016031700,2038,2.0
2016031800,1625,1.0
2016031900,1415,
2016032000,1464,1.0
2016032100,1354,
2016032200,1429,
2016032300,1198,
2016032400,1123,
2016032500,1153,
2016032600,1013,
2016032700,1037,
2016032800,1207,
2016032900,1094,
2016033000,1160,
2016033100,1126,
2016040100,3614,2.0
2016040200,1318,1.0
2016040300,1531,
2016040400,1333,1.0
2016040500,1175,
2016040600,1199,
2016040700,1303,
2016040800,885,
2016040900,1115,
2016041000,1186,
2016041100,1309,
2016041200,1016,
2016041300,1095,
2016041400,78756,1.0
2016041500,42170,1.0
2016041600,37706,
2016041700,19802,
2016041800,17694,
2016041900,12984,1.0
2016042000,11403,5.0
2016042100,8311,2.0
2016042200,5272,
2016042300,4299,
2016042400,4224,
2016042500,3861,1.0
2016042600,3692,
2016042700,3144,2.0
2016042800,3373,
2016042900,3101,
2016043000,2181,
2016050100,2426,
2016050200,2193,
2016050300,2040,
2016050400,2195,
2016050500,2564,
2016050600,2505,
2016050700,2172,
2016050800,2195,1.0
2016050900,2658,
2016051000,2550,2.0
2016051100,2209,
2016051200,2450,
2016051300,2163,
2016051400,1862,
2016051500,1818,1.0
2016051600,5088,
2016051700,3191,
2016051800,2119,
2016051900,2049,
2016052000,1837,
2016052100,1543,
2016052200,1554,
2016052300,2217,
2016052400,2775,
2016052500,1956,
2016052600,1857,
2016052700,1398,
2016052800,1268,1.0
2016052900,1138,
2016053000,1376,2.0
2016053100,1385,
2016060100,1162,
2016060200,1350,
2016060300,1206,
2016060400,1517,
2016060500,1047,
2016060600,1317,1.0
2016060700,1303,
2016060800,1204,
2016060900,1245,
2016061000,1389,
2016061100,1135,
2016061200,1373,
2016061300,1731,
2016061400,1392,
2016061500,1507,
2016061600,3292,
2016061700,1389,
2016061800,1043,
2016061900,1269,
2016062000,1648,
2016062100,1532,
2016062200,1321,
2016062300,1269,
2016062400,1110,
2016062500,1014,
2016062600,1164,
2016062700,1441,
2016062800,1342,
2016062900,1349,
2016063000,1291,
2016070100,1123,
2016070200,957,
2016070300,984,
2016070400,1226,
2016070500,1229,
2016070600,1146,
2016070700,1110,
2016070800,1069,
2016070900,1075,
2016071000,993,
2016071100,1276,
2016071200,1399,
2016071300,1471,
2016071400,1365,
2016071500,1039,
2016071600,1016,
2016071700,1300,
2016071800,1261,
2016071900,1738,
2016072000,1595,
2016072100,1324,
2016072200,1137,
2016072300,1035,
2016072400,1222,
2016072500,1229,
2016072600,1198,
2016072700,1990,
2016072800,1526,
2016072900,1145,
2016073000,943,
2016073100,1002,
2016080100,2267,
2016080200,1540,
2016080300,1216,
2016080400,1148,
2016080500,1074,
2016080600,821,
2016080700,911,
2016080800,1083,
2016080900,1153,
2016081000,968,
2016081100,983,
2016081200,1267,
2016081300,918,1.0
2016081400,1030,
2016081500,1581,
2016081600,1320,
2016081700,1348,
2016081800,1228,
2016081900,1484,
2016082000,1759,2.0
2016082100,1387,
2016082200,1653,
2016082300,1327,
2016082400,3906,
2016082500,2841,
2016082600,1642,
2016082700,1592,
2016082800,1440,
2016082900,1611,
2016083000,1649,
2016083100,2079,
